,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
0,0.002704,0.003318,0.788389,0.170903,,0.012302,,,,,,,,,,,,,,,0.091351
1,0.002474,0.00295,0.791875,0.172688,,0.012603,,,,,,,,,,,,,,,0.089103
2,0.002474,0.002924,0.80141,0.174511,0.519918,0.012684,,,,,,,,,,,,,,,0.087284
3,0.002067,0.002944,0.810574,0.184293,0.45586,0.011544,,,,,,,,,,,,,,,0.082962
4,0.001847,0.002643,0.822007,0.199172,0.461435,0.011147,,,,,,,,,,,,,,,0.081543
5,0.002217,0.002808,0.831159,0.21576,0.46305,0.010896,,,,,,,,,,,,,,,0.078984
6,0.002173,0.002504,0.841053,0.229348,0.459926,0.010787,,,,,,,,,,,,,,,0.075373
7,0.001788,0.002093,0.852159,0.243808,0.456887,0.010398,,,,,,,,,,,,,,,0.070062
8,0.001654,0.00202,0.864876,0.258264,0.456774,0.010056,,,,,,,,,,,,,,,0.069212
9,0.001452,0.001865,0.877197,0.282868,0.453743,0.009425,,,,,,,,,,,,,,,0.06471
10,0.001506,0.001836,0.885796,0.302581,0.455812,0.009963,,,,,,,,,,,,,,,0.061771
11,0.001539,0.001845,0.892242,0.308621,0.454248,0.010403,,,,,,,,,,,,,,,0.057949
12,0.001342,0.001623,0.898162,0.312552,0.449501,0.010634,,,,,,,,,,,,,,,0.054552
13,0.001278,0.001615,0.904018,0.314802,0.449396,0.010741,,,,,,,,,,,,,,,0.053587
14,0.001285,0.0017,0.908676,0.317842,0.449038,0.010516,,,,,,,,,,,,,,,0.05317
15,0.001558,0.001929,0.909933,0.323251,0.445568,0.01066,,,,,,,,,,,,,,,0.049893
16,0.001615,0.002048,0.909002,0.326382,0.444571,0.010377,,,,,,,,,,,,,,,0.049333
17,0.0014,0.001961,0.910192,0.328393,0.440488,0.009879,,,,,,,,,,,,,,,0.048346
18,0.001617,0.0022,0.914124,0.337744,0.435135,0.009297,,,,,,,,,,,,,,,0.046846
19,0.001721,0.002244,0.917195,0.344856,0.433456,0.008939,,,,,,,,,,,,,,,0.045132
20,0.001502,0.002176,0.919388,0.353209,0.431121,0.008626,,,,,,,,,,,,,,,0.043237
21,0.001418,0.002093,0.921635,0.363804,0.426938,0.008628,,,,,,,,,,,,,,,0.042509
22,0.001688,0.002441,0.924691,0.371169,0.425494,0.009069,,,,,,,,,,,,,,,0.039899
23,0.00166,0.002355,0.929835,0.381961,0.422949,0.009287,,,,,,,,,,,,,,,0.038099
24,0.001585,0.002392,0.932543,0.389835,0.417859,0.009455,,,,,,,,,,,,,,,0.037765
25,0.001494,0.002264,0.934314,0.394454,0.418325,0.009482,,,,,,,,,,,,,,,0.037771
26,0.001313,0.002089,0.935698,0.400359,0.417716,0.009409,,,,,,,,,,,,,,,0.036879
27,0.001352,0.001943,0.935896,0.404791,0.416578,0.009024,,,,,,,,,,,,,,,0.036261
28,0.001433,0.001998,0.935692,0.408734,0.41777,0.00938,,,,,,,,,,,,,,,0.035608
29,0.001569,0.002033,0.937005,0.415791,0.415833,0.008897,,,,,,,,,,,,,,,0.035755
30,0.002368,0.00272,0.937345,0.416871,0.417983,0.008926,,,,,,,,,,,,,,,0.035316
31,0.002347,0.002507,0.939584,0.419236,0.41965,0.009047,,,,,,,,,,,,,,,0.034219
32,0.00249,0.002525,0.94037,0.429053,0.418149,0.008855,,,,,,,,,,,,,,,0.033075
33,0.002514,0.002584,0.940864,0.43447,0.415614,0.008951,,,,,,,,,,,,,,,0.033472
34,0.002759,0.002823,0.941336,0.443053,0.416556,0.009874,,,,,,,,,,,,,,,0.03399
35,0.002918,0.002883,0.942853,0.447167,0.412744,0.009952,,,,,,,,,,,,,,,0.033519
36,0.002762,0.00256,0.943474,0.454798,0.406843,0.010371,,,,,,,,,,,,,,,0.03375
37,0.001973,0.00179,0.943237,0.464444,0.399452,0.010144,,,,,,,,,,,,,,,0.032613
38,0.002138,0.002016,0.942099,0.471411,0.399395,0.010262,,,,,,,,,,,,,,,0.032139
39,0.001977,0.002008,0.941485,0.470816,0.399239,0.010104,,,,,,,,,,,,,,,0.031807
40,0.00204,0.002077,0.940968,0.475623,0.398841,0.010203,,,,,,,,,,,,,,,0.031834
41,0.001918,0.001854,0.940903,0.478712,0.394571,0.009728,,,,,,,,,,,,,,,0.030635
42,0.001838,0.001879,0.939691,0.4851,0.392632,0.009061,,,,,,,,,,,,,,,0.030608
43,0.0016,0.001846,0.937561,0.488844,0.393226,0.008463,,,,,,,,,,,,,,,0.029566
44,0.001602,0.001922,0.936453,0.491868,0.39087,0.009022,,,,,,,,,,,,,,,0.029955
45,0.001462,0.001726,0.936268,0.49702,0.386401,0.008721,,,,,,,,,,,,,,,0.029893
46,0.001529,0.001801,0.93578,0.503032,0.383531,0.008894,,,,,,,,,,,,,,,0.028999
47,0.001453,0.001708,0.935489,0.505624,0.381688,0.008614,,,,,,,,,,,,,,,0.027838
48,0.00138,0.001785,0.934678,0.508444,0.380426,0.008318,,,,,,,,,,,,,,,0.027861
49,0.001363,0.001703,0.933651,0.511105,0.383456,0.008589,,,,,,,,,,,,,,,0.026772
50,0.001274,0.001609,0.933903,0.511386,0.385145,0.008616,,,,,,,,,,,,,,,0.026756
51,0.001056,0.001329,0.934082,0.515483,0.386508,0.00856,,,,,,,,,,,,,,,0.026499
52,0.000994,0.001215,0.931749,0.518774,0.389558,0.008092,,,,,,,,,,,,,,,0.025866
53,0.000893,0.001121,0.931289,0.521786,0.389834,0.008361,,,,,,,,,,,,,,,0.026019
54,0.001029,0.001731,0.928562,0.525647,0.390038,0.00894,,,,,,,,,,,,,,,0.026001
55,0.001063,0.001571,0.926103,0.529097,0.388981,0.008861,,,,,,,,,,,,,,,0.025393
56,0.000971,0.001437,0.924645,0.531086,0.385837,0.008481,,,,,,,,,,,,,,,0.025154
57,0.001145,0.001638,0.919377,0.534601,0.383346,0.008617,,,,,,,,,,,,0.99778,0.341217,0.599627,0.024966
58,0.001255,0.00179,0.914033,0.533646,0.382393,0.008319,,,,,,,,,,,,0.997217,0.352988,0.58882,0.024884
59,0.001219,0.001787,0.909509,0.533181,0.379794,0.00861,,,,,,,,,,,,0.997871,0.356406,0.585858,0.024553
60,0.001589,0.002058,0.903314,0.537651,0.378903,0.00849,,,,,,,,,,,,0.997743,0.358569,0.587244,0.02478
61,0.001497,0.001401,0.899388,0.53641,0.377179,0.007775,,,,,,,,,,,,0.997623,0.359158,0.586523,0.023716
62,0.001515,0.00156,0.896634,0.538826,0.372946,0.007804,,,,,,,,,,,,0.997407,0.358622,0.586399,0.022808
63,0.0015,0.001565,0.892158,0.542931,0.370865,0.007537,,,,,,,,,,,,0.997647,0.356691,0.587515,0.022439
64,0.00139,0.001434,0.890822,0.543428,0.371425,0.007877,,,,,,,,,,,,0.99778,0.358421,0.586907,0.02145
65,0.001358,0.001389,0.890319,0.545418,0.368859,0.007753,,,,,,,,,,,,0.997835,0.356512,0.588972,0.020355
66,0.001274,0.001324,0.891257,0.546034,0.371042,0.007466,,,,,,,,,,,,0.997647,0.357153,0.58796,0.019849
67,0.000924,0.001083,0.891692,0.540413,0.370242,0.007422,,,,,,,,,,,,0.997733,0.357046,0.586574,0.019002
68,0.000899,0.001142,0.891632,0.544143,0.371902,0.007284,,,,,,,,,,,,0.997869,0.356015,0.587413,0.018671
69,0.000761,0.001107,0.890063,0.544099,0.375703,0.007271,,,,,,,,,,,,0.998006,0.355637,0.587716,0.018939
70,0.000929,0.00148,0.891466,0.540547,0.375826,0.007466,,,,,,,,,,,,0.998024,0.358929,0.585758,0.018992
71,0.000973,0.001509,0.890424,0.543565,0.376991,0.006587,,,,,,,,,,,,0.997837,0.355946,0.586766,0.018344
72,0.001052,0.0017,0.889239,0.548339,0.378946,0.006407,,,,,,,,,,,,0.998056,0.354598,0.587257,0.018124
73,0.001271,0.001901,0.885987,0.548811,0.376226,0.006831,,,,,,,,,,,,0.998163,0.354145,0.587685,0.018553
74,0.001264,0.001913,0.883335,0.550579,0.376173,0.006732,,,,,,,,,,,,0.998169,0.354302,0.585058,0.018587
75,0.001282,0.002068,0.881534,0.552831,0.374702,0.007143,,,,,,,,,,,,0.998049,0.357772,0.580946,0.018735
76,0.001499,0.002061,0.880871,0.556878,0.372592,0.007059,,,,,,,,,,,,0.99805,0.35806,0.580839,0.018865
