,Country,Month,Day,Date
0,Italy,May,1,20200501
1,Italy,May,2,20200502
2,Italy,May,3,20200503
3,Italy,May,4,20200504
4,Italy,May,5,20200505
5,Italy,May,6,20200506
6,Italy,May,7,20200507
7,Italy,May,8,20200508
8,Italy,May,9,20200509
9,Italy,May,10,20200510
10,Italy,May,11,20200511
11,Italy,May,12,20200512
12,Italy,May,13,20200513
13,Italy,May,14,20200514
14,Italy,May,15,20200515
15,Italy,May,16,20200516
16,Italy,May,17,20200517
17,Italy,May,18,20200518
18,Italy,May,19,20200519
19,Italy,May,20,20200520
20,Italy,May,21,20200521
21,Italy,May,22,20200522
22,Italy,May,23,20200523
23,Italy,May,24,20200524
24,Italy,May,25,20200525
25,Italy,May,26,20200526
26,Italy,May,27,20200527
27,Italy,May,28,20200528
28,Italy,May,29,20200529
29,Italy,May,30,20200530
30,Italy,May,31,20200531
31,Italy,June,1,20200601
32,Italy,June,2,20200602
33,Italy,June,3,20200603
34,Italy,June,4,20200604
35,Italy,June,5,20200605
36,Italy,June,6,20200606
37,Italy,June,7,20200607
38,Italy,June,8,20200608
39,Italy,June,9,20200609
40,Italy,June,10,20200610
41,Italy,June,11,20200611
42,Italy,June,12,20200612
43,Italy,June,13,20200613
44,Italy,June,14,20200614
45,Italy,June,15,20200615
46,Italy,June,16,20200616
47,Italy,June,17,20200617
48,Italy,June,18,20200618
49,Italy,June,19,20200619
50,Italy,June,20,20200620
51,Italy,June,21,20200621
52,Italy,June,22,20200622
53,Italy,June,23,20200623
54,Italy,June,24,20200624
55,Italy,June,25,20200625
56,Italy,June,26,20200626
57,Italy,June,27,20200627
58,Italy,June,28,20200628
59,Italy,June,29,20200629
60,Italy,June,30,20200630
61,Italy,July,1,20200701
62,Italy,July,2,20200702
63,Italy,July,3,20200703
64,Italy,July,4,20200704
65,Italy,July,5,20200705
66,Italy,July,6,20200706
67,Italy,July,7,20200707
68,Italy,July,8,20200708
69,Italy,July,9,20200709
70,Italy,July,10,20200710
71,Italy,July,11,20200711
72,Italy,July,12,20200712
73,Italy,July,13,20200713
74,Italy,July,14,20200714
75,Italy,July,15,20200715
76,Italy,July,16,20200716
77,Italy,July,17,20200717
78,Italy,July,18,20200718
79,Italy,July,19,20200719
80,Italy,July,20,20200720
81,Italy,July,21,20200721
82,Italy,July,22,20200722
83,Italy,July,23,20200723
84,Italy,July,24,20200724
85,Italy,July,25,20200725
86,Italy,July,26,20200726
87,Italy,July,27,20200727
88,Italy,July,28,20200728
89,Italy,July,29,20200729
90,Italy,July,30,20200730
91,Italy,July,31,20200731
92,Italy,August,1,20200801
93,Italy,August,2,20200802
94,Italy,August,3,20200803
95,Italy,August,4,20200804
96,Italy,August,5,20200805
97,Italy,August,6,20200806
98,Italy,August,7,20200807
99,Italy,August,8,20200808
100,Italy,August,9,20200809
101,Italy,August,10,20200810
102,Italy,August,11,20200811
103,Italy,August,12,20200812
104,Italy,August,13,20200813
105,Italy,August,14,20200814
106,Italy,August,15,20200815
107,Italy,August,16,20200816
108,Italy,August,17,20200817
109,Italy,August,18,20200818
110,Italy,August,19,20200819
111,Italy,August,20,20200820
112,Italy,August,21,20200821
113,Italy,August,22,20200822
114,Italy,August,23,20200823
115,Italy,August,24,20200824
116,Italy,August,25,20200825
117,Italy,August,26,20200826
118,Italy,August,27,20200827
119,Italy,August,28,20200828
120,Italy,August,29,20200829
121,Italy,August,30,20200830
122,Italy,August,31,20200831
123,Italy,September,1,20200901
124,Italy,September,2,20200902
125,Italy,September,3,20200903
126,Italy,September,4,20200904
127,Italy,September,5,20200905
128,Italy,September,6,20200906
129,Italy,September,7,20200907
130,Italy,September,8,20200908
131,Italy,September,9,20200909
132,Italy,September,10,20200910
133,Italy,September,11,20200911
134,Italy,September,12,20200912
135,Italy,September,13,20200913
136,Italy,September,14,20200914
137,Italy,September,15,20200915
138,Italy,September,16,20200916
