,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
0,0.006469,0.007587,0.179967,0.216809,,0.014187,,,,,,,,,,,,,,,0.034807
1,0.006089,0.007439,0.18009,0.23481,,0.013637,,,,,,,,,,,,,,,0.034489
2,0.007558,0.008725,0.177757,0.260274,0.29103,0.01351,,,,,,,,,,,,,,,0.036398
3,0.006349,0.006984,0.175597,0.278281,0.275356,0.012545,,,,,,,,,,,,,,,0.032968
4,0.007293,0.007488,0.166931,0.284715,0.288326,0.012483,,,,,,,,,,,,,,,0.03378
5,0.004244,0.003829,0.168175,0.284589,0.291977,0.012063,,,,,,,,,,,,,,,0.034758
6,0.004113,0.004229,0.167293,0.286213,0.286124,0.012384,,,,,,,,,,,,,,,0.033522
7,0.004172,0.004247,0.16705,0.286007,0.28204,0.012748,,,,,,,,,,,,,,,0.033633
8,0.004327,0.00405,0.165971,0.295619,0.275063,0.012334,,,,,,,,,,,,,,,0.035267
9,0.005172,0.00451,0.166829,0.302379,0.273349,0.014392,,,,,,,,,,,,,,,0.032585
10,0.005202,0.004574,0.166127,0.309822,0.27835,0.015006,,,,,,,,,,,,,,,0.033191
11,0.005542,0.005117,0.164467,0.31308,0.276565,0.014623,,,,,,,,,,,,,,,0.032783
12,0.005682,0.005315,0.162964,0.322038,0.272026,0.013584,,,,,,,,,,,,,,,0.031958
13,0.005546,0.00508,0.157922,0.346078,0.274434,0.013226,,,,,,,,,,,,,,,0.032159
14,0.006358,0.005894,0.153126,0.381236,0.274135,0.012677,,,,,,,,,,,,,,,0.032682
15,0.007592,0.007548,0.146849,0.417643,0.28082,0.013486,,,,,,,,,,,,,,,0.031132
16,0.007169,0.00752,0.140229,0.447747,0.279448,0.011944,,,,,,,,,,,,,,,0.032875
17,0.00708,0.007623,0.131492,0.4721,0.274068,0.012025,,,,,,,,,,,,,,,0.033901
18,0.007056,0.007114,0.128048,0.507596,0.274248,0.013402,,,,,,,,,,,,,,,0.031985
19,0.006768,0.006869,0.123985,0.531104,0.275013,0.013709,,,,,,,,,,,,,,,0.037006
20,0.008347,0.008572,0.120719,0.540557,0.271934,0.014095,,,,,,,,,,,,,,,0.037044
21,0.007547,0.007642,0.117376,0.544298,0.270548,0.014254,,,,,,,,,,,,,,,0.03581
22,0.006235,0.006182,0.109481,0.545187,0.262431,0.014977,,,,,,,,,,,,,,,0.038707
23,0.005866,0.005914,0.103656,0.543644,0.268458,0.01444,,,,,,,,,,,,,,,0.038422
24,0.005717,0.005603,0.102003,0.548153,0.268845,0.014106,,,,,,,,,,,,,,,0.03742
25,0.006295,0.006582,0.096897,0.55095,0.265419,0.014005,,,,,,,,,,,,,,,0.036308
26,0.006535,0.006762,0.095032,0.558466,0.262639,0.014316,,,,,,,,,,,,,,,0.033073
27,0.005926,0.005247,0.09512,0.563562,0.261752,0.016465,,,,,,,,,,,,,,,0.034128
28,0.005578,0.004991,0.093372,0.570513,0.263042,0.01814,,,,,,,,,,,,,,,0.035711
29,0.006886,0.0061,0.093928,0.573646,0.268493,0.017686,,,,,,,,,,,,,,,0.038828
30,0.006677,0.005906,0.09351,0.589867,0.261031,0.017454,,,,,,,,,,,,,,,0.038622
31,0.007007,0.006182,0.094897,0.595906,0.257906,0.017023,,,,,,,,,,,,,,,0.040319
32,0.006251,0.005174,0.093346,0.605684,0.251356,0.016396,,,,,,,,,,,,,,,0.040798
33,0.00578,0.004657,0.090276,0.608991,0.249117,0.016299,,,,,,,,,,,,,,,0.041623
34,0.004985,0.004589,0.084303,0.613286,0.246443,0.014316,,,,,,,,,,,,,,,0.043615
35,0.008707,0.008164,0.077308,0.618756,0.240792,0.016592,,,,,,,,,,,,,,,0.046224
36,0.008073,0.007764,0.074958,0.620275,0.231879,0.016242,,,,,,,,,,,,,,,0.040784
37,0.007797,0.007479,0.07228,0.624994,0.229665,0.016662,,,,,,,,,,,,,,,0.042449
38,0.008213,0.00824,0.067957,0.635978,0.228473,0.017367,,,,,,,,,,,,,,,0.041876
39,0.009785,0.010169,0.065723,0.646996,0.229709,0.018603,,,,,,,,,,,,,,,0.044402
40,0.011215,0.011756,0.064173,0.65671,0.230842,0.018962,,,,,,,,,,,,,,,0.045679
41,0.011465,0.012318,0.065636,0.663865,0.231745,0.019373,,,,,,,,,,,,,,,0.043019
42,0.008577,0.009283,0.064693,0.675881,0.234406,0.015883,,,,,,,,,,,,,,,0.042828
43,0.008633,0.009256,0.065421,0.689485,0.24017,0.016876,,,,,,,,,,,,,,,0.043279
44,0.009748,0.010543,0.063012,0.692048,0.239337,0.017343,,,,,,,,,,,,,,,0.046604
45,0.009883,0.010629,0.060176,0.697996,0.238557,0.017865,,,,,,,,,,,,,,,0.05137
