,Country,Month,Day,Date
0,New Zealand,May,1,20200501
1,New Zealand,May,2,20200502
2,New Zealand,May,3,20200503
3,New Zealand,May,4,20200504
4,New Zealand,May,5,20200505
5,New Zealand,May,6,20200506
6,New Zealand,May,7,20200507
7,New Zealand,May,8,20200508
8,New Zealand,May,9,20200509
9,New Zealand,May,10,20200510
10,New Zealand,May,11,20200511
11,New Zealand,May,12,20200512
12,New Zealand,May,13,20200513
13,New Zealand,May,14,20200514
14,New Zealand,May,15,20200515
15,New Zealand,May,16,20200516
16,New Zealand,May,17,20200517
17,New Zealand,May,18,20200518
18,New Zealand,May,19,20200519
19,New Zealand,May,20,20200520
20,New Zealand,May,21,20200521
21,New Zealand,May,22,20200522
22,New Zealand,May,23,20200523
23,New Zealand,May,24,20200524
24,New Zealand,May,25,20200525
25,New Zealand,May,26,20200526
26,New Zealand,May,27,20200527
27,New Zealand,May,28,20200528
28,New Zealand,May,29,20200529
29,New Zealand,May,30,20200530
30,New Zealand,May,31,20200531
31,New Zealand,June,1,20200601
32,New Zealand,June,2,20200602
33,New Zealand,June,3,20200603
34,New Zealand,June,4,20200604
35,New Zealand,June,5,20200605
36,New Zealand,June,6,20200606
37,New Zealand,June,7,20200607
38,New Zealand,June,8,20200608
39,New Zealand,June,9,20200609
40,New Zealand,June,10,20200610
41,New Zealand,June,11,20200611
42,New Zealand,June,12,20200612
43,New Zealand,June,13,20200613
44,New Zealand,June,14,20200614
45,New Zealand,June,15,20200615
46,New Zealand,June,16,20200616
47,New Zealand,June,17,20200617
48,New Zealand,June,18,20200618
49,New Zealand,June,19,20200619
50,New Zealand,June,20,20200620
51,New Zealand,June,21,20200621
52,New Zealand,June,22,20200622
53,New Zealand,June,23,20200623
54,New Zealand,June,24,20200624
55,New Zealand,June,25,20200625
56,New Zealand,June,26,20200626
57,New Zealand,June,27,20200627
58,New Zealand,June,28,20200628
59,New Zealand,June,29,20200629
60,New Zealand,June,30,20200630
61,New Zealand,July,1,20200701
62,New Zealand,July,2,20200702
63,New Zealand,July,3,20200703
64,New Zealand,July,4,20200704
65,New Zealand,July,5,20200705
66,New Zealand,July,6,20200706
67,New Zealand,July,7,20200707
68,New Zealand,July,8,20200708
69,New Zealand,July,9,20200709
70,New Zealand,July,10,20200710
71,New Zealand,July,11,20200711
72,New Zealand,July,12,20200712
73,New Zealand,July,13,20200713
74,New Zealand,July,14,20200714
75,New Zealand,July,15,20200715
76,New Zealand,July,16,20200716
77,New Zealand,July,17,20200717
78,New Zealand,July,18,20200718
79,New Zealand,July,19,20200719
80,New Zealand,July,20,20200720
81,New Zealand,July,21,20200721
82,New Zealand,July,22,20200722
