,Country,Month,Day,Date
0,Afghanistan,May,1,20200501
1,Afghanistan,May,2,20200502
2,Afghanistan,May,3,20200503
3,Afghanistan,May,4,20200504
4,Afghanistan,May,5,20200505
5,Afghanistan,May,6,20200506
6,Afghanistan,May,7,20200507
7,Afghanistan,May,8,20200508
8,Afghanistan,May,9,20200509
9,Afghanistan,May,10,20200510
10,Afghanistan,May,11,20200511
11,Afghanistan,May,12,20200512
12,Afghanistan,May,13,20200513
13,Afghanistan,May,14,20200514
14,Afghanistan,May,15,20200515
15,Afghanistan,May,16,20200516
16,Afghanistan,May,17,20200517
17,Afghanistan,May,18,20200518
18,Afghanistan,May,19,20200519
19,Afghanistan,May,20,20200520
20,Afghanistan,May,21,20200521
21,Afghanistan,May,22,20200522
22,Afghanistan,May,23,20200523
23,Afghanistan,May,24,20200524
24,Afghanistan,May,25,20200525
25,Afghanistan,May,26,20200526
26,Afghanistan,May,27,20200527
27,Afghanistan,May,28,20200528
28,Afghanistan,May,29,20200529
29,Afghanistan,May,30,20200530
30,Afghanistan,May,31,20200531
31,Afghanistan,June,1,20200601
32,Afghanistan,June,2,20200602
33,Afghanistan,June,3,20200603
34,Afghanistan,June,4,20200604
35,Afghanistan,June,5,20200605
36,Afghanistan,June,6,20200606
37,Afghanistan,June,7,20200607
38,Afghanistan,June,8,20200608
39,Afghanistan,June,9,20200609
40,Afghanistan,June,10,20200610
41,Afghanistan,June,11,20200611
42,Afghanistan,June,12,20200612
43,Afghanistan,June,13,20200613
44,Afghanistan,June,14,20200614
45,Afghanistan,June,15,20200615
46,Afghanistan,June,16,20200616
47,Afghanistan,June,17,20200617
48,Afghanistan,June,18,20200618
49,Afghanistan,June,19,20200619
50,Afghanistan,June,20,20200620
51,Afghanistan,June,21,20200621
52,Afghanistan,June,22,20200622
53,Afghanistan,June,23,20200623
54,Afghanistan,June,24,20200624
55,Afghanistan,June,25,20200625
56,Afghanistan,June,26,20200626
57,Afghanistan,June,27,20200627
58,Afghanistan,June,28,20200628
59,Afghanistan,June,29,20200629
60,Afghanistan,June,30,20200630
61,Afghanistan,July,1,20200701
62,Afghanistan,July,2,20200702
63,Afghanistan,July,3,20200703
64,Afghanistan,July,4,20200704
65,Afghanistan,July,5,20200705
66,Afghanistan,July,6,20200706
67,Afghanistan,July,7,20200707
68,Afghanistan,July,8,20200708
69,Afghanistan,July,9,20200709
70,Afghanistan,July,10,20200710
71,Afghanistan,July,11,20200711
72,Afghanistan,July,12,20200712
73,Afghanistan,July,13,20200713
74,Afghanistan,July,14,20200714
75,Afghanistan,July,15,20200715
76,Afghanistan,July,16,20200716
77,Afghanistan,July,17,20200717
78,Afghanistan,July,18,20200718
79,Afghanistan,July,19,20200719
80,Afghanistan,July,20,20200720
81,Afghanistan,July,21,20200721
82,Afghanistan,July,22,20200722
83,Afghanistan,July,23,20200723
84,Afghanistan,July,24,20200724
85,Afghanistan,July,25,20200725
86,Afghanistan,July,26,20200726
87,Afghanistan,July,27,20200727
88,Afghanistan,July,28,20200728
89,Afghanistan,July,29,20200729
90,Afghanistan,July,30,20200730
91,Afghanistan,July,31,20200731
92,Afghanistan,August,1,20200801
93,Afghanistan,August,2,20200802
94,Afghanistan,August,3,20200803
95,Afghanistan,August,4,20200804
96,Afghanistan,August,5,20200805
97,Afghanistan,August,6,20200806
98,Afghanistan,August,7,20200807
99,Afghanistan,August,8,20200808
100,Afghanistan,August,9,20200809
101,Afghanistan,August,10,20200810
102,Afghanistan,August,11,20200811
103,Afghanistan,August,12,20200812
104,Afghanistan,August,13,20200813
105,Afghanistan,August,14,20200814
106,Afghanistan,August,15,20200815
107,Afghanistan,August,16,20200816
108,Afghanistan,August,17,20200817
109,Afghanistan,August,18,20200818
110,Afghanistan,August,19,20200819
111,Afghanistan,August,20,20200820
112,Afghanistan,August,21,20200821
113,Afghanistan,August,22,20200822
114,Afghanistan,August,23,20200823
115,Afghanistan,August,24,20200824
116,Afghanistan,August,25,20200825
117,Afghanistan,August,26,20200826
118,Afghanistan,August,27,20200827
119,Afghanistan,August,28,20200828
120,Afghanistan,August,29,20200829
121,Afghanistan,August,30,20200830
122,Afghanistan,August,31,20200831
123,Afghanistan,September,1,20200901
124,Afghanistan,September,2,20200902
125,Afghanistan,September,3,20200903
126,Afghanistan,September,4,20200904
127,Afghanistan,September,5,20200905
128,Afghanistan,September,6,20200906
129,Afghanistan,September,7,20200907
130,Afghanistan,September,8,20200908
131,Afghanistan,September,9,20200909
132,Afghanistan,September,10,20200910
133,Afghanistan,September,11,20200911
134,Afghanistan,September,12,20200912
135,Afghanistan,September,13,20200913
136,Afghanistan,September,14,20200914
137,Afghanistan,September,15,20200915
138,Afghanistan,September,16,20200916
139,Afghanistan,September,17,20200917
140,Afghanistan,September,18,20200918
141,Afghanistan,September,19,20200919
142,Afghanistan,September,20,20200920
143,Afghanistan,September,21,20200921
144,Afghanistan,September,22,20200922
145,Afghanistan,September,23,20200923
146,Afghanistan,September,24,20200924
147,Afghanistan,September,25,20200925
148,Afghanistan,September,26,20200926
149,Afghanistan,September,27,20200927
150,Afghanistan,September,28,20200928
151,Afghanistan,September,29,20200929
152,Afghanistan,September,30,20200930
153,Afghanistan,October,1,20201001
154,Afghanistan,October,2,20201002
155,Afghanistan,October,3,20201003
156,Afghanistan,October,4,20201004
157,Afghanistan,October,5,20201005
158,Afghanistan,October,6,20201006
159,Afghanistan,October,7,20201007
160,Afghanistan,October,8,20201008
161,Afghanistan,October,9,20201009
162,Afghanistan,October,10,20201010
163,Afghanistan,October,11,20201011
164,Afghanistan,October,12,20201012
165,Afghanistan,October,13,20201013
166,Afghanistan,October,14,20201014
167,Afghanistan,October,15,20201015
168,Afghanistan,October,16,20201016
169,Afghanistan,October,17,20201017
170,Afghanistan,October,18,20201018
171,Afghanistan,October,19,20201019
172,Afghanistan,October,20,20201020
173,Afghanistan,October,21,20201021
174,Afghanistan,October,22,20201022
175,Afghanistan,October,23,20201023
176,Afghanistan,October,24,20201024
177,Afghanistan,October,25,20201025
178,Afghanistan,October,26,20201026
179,Afghanistan,October,27,20201027
180,Afghanistan,October,28,20201028
181,Afghanistan,October,29,20201029
182,Afghanistan,October,30,20201030
183,Afghanistan,October,31,20201031
184,Afghanistan,November,1,20201101
185,Afghanistan,November,2,20201102
186,Afghanistan,November,3,20201103
187,Afghanistan,November,4,20201104
188,Afghanistan,November,5,20201105
189,Afghanistan,November,6,20201106
190,Afghanistan,November,7,20201107
191,Afghanistan,November,8,20201108
192,Afghanistan,November,9,20201109
193,Afghanistan,November,10,20201110
194,Afghanistan,November,11,20201111
195,Afghanistan,November,12,20201112
196,Afghanistan,November,13,20201113
197,Afghanistan,November,14,20201114
198,Afghanistan,November,15,20201115
199,Afghanistan,November,16,20201116
200,Afghanistan,November,17,20201117
201,Afghanistan,November,18,20201118
202,Afghanistan,November,19,20201119
203,Afghanistan,November,20,20201120
204,Afghanistan,November,21,20201121
205,Afghanistan,November,22,20201122
206,Afghanistan,November,23,20201123
207,Afghanistan,November,24,20201124
208,Afghanistan,November,25,20201125
209,Afghanistan,November,26,20201126
210,Afghanistan,November,27,20201127
211,Afghanistan,November,28,20201128
212,Afghanistan,November,29,20201129
213,Afghanistan,November,30,20201130
214,Afghanistan,December,1,20201201
215,Afghanistan,December,2,20201202
216,Afghanistan,December,3,20201203
217,Afghanistan,December,4,20201204
218,Afghanistan,December,5,20201205
219,Afghanistan,December,6,20201206
220,Afghanistan,December,7,20201207
221,Afghanistan,December,8,20201208
222,Afghanistan,December,9,20201209
223,Afghanistan,December,10,20201210
224,Afghanistan,December,11,20201211
225,Afghanistan,December,12,20201212
226,Afghanistan,December,13,20201213
227,Afghanistan,December,14,20201214
228,Afghanistan,December,15,20201215
229,Afghanistan,December,16,20201216
230,Afghanistan,December,17,20201217
231,Afghanistan,December,18,20201218
232,Afghanistan,December,19,20201219
233,Afghanistan,December,20,20201220
234,Afghanistan,December,21,20201221
235,Afghanistan,December,22,20201222
236,Afghanistan,December,23,20201223
237,Afghanistan,December,24,20201224
238,Afghanistan,December,25,20201225
239,Afghanistan,December,26,20201226
240,Afghanistan,December,27,20201227
241,Afghanistan,December,28,20201228
242,Afghanistan,December,29,20201229
243,Afghanistan,December,30,20201230
244,Afghanistan,December,31,20201231
245,Afghanistan,January,1,20210101
246,Afghanistan,January,2,20210102
247,Afghanistan,January,3,20210103
248,Afghanistan,January,4,20210104
249,Afghanistan,January,5,20210105
250,Afghanistan,January,6,20210106
251,Afghanistan,January,7,20210107
252,Afghanistan,January,8,20210108
253,Afghanistan,January,9,20210109
254,Afghanistan,January,10,20210110
255,Afghanistan,January,11,20210111
256,Afghanistan,January,12,20210112
257,Afghanistan,January,13,20210113
258,Afghanistan,January,14,20210114
259,Afghanistan,January,15,20210115
260,Afghanistan,January,16,20210116
261,Afghanistan,January,17,20210117
262,Afghanistan,January,18,20210118
263,Afghanistan,January,19,20210119
264,Afghanistan,January,20,20210120
265,Afghanistan,January,21,20210121
266,Afghanistan,January,22,20210122
267,Afghanistan,January,23,20210123
268,Afghanistan,January,24,20210124
269,Afghanistan,January,25,20210125
270,Afghanistan,January,26,20210126
271,Afghanistan,January,27,20210127
272,Afghanistan,January,28,20210128
273,Afghanistan,January,29,20210129
274,Afghanistan,January,30,20210130
275,Afghanistan,January,31,20210131
276,Afghanistan,February,1,20210201
