Percent,Indicator,Date
0.0,covid,20200501
0.001116,covid,20200502
0.000193,covid,20200503
0.0045899999999999995,covid,20200504
0.002078,covid,20200505
0.008490000000000001,covid,20200506
0.002875,covid,20200507
0.007744,covid,20200508
0.005642,covid,20200509
0.001003,covid,20200510
0.000273,covid,20200511
0.0028870000000000002,covid,20200512
0.00082,covid,20200513
0.0034159999999999998,covid,20200514
0.00796,covid,20200515
0.0054789999999999995,covid,20200516
0.003992,covid,20200517
0.002037,covid,20200518
0.012412999999999999,covid,20200519
0.005883,covid,20200520
0.000437,covid,20200521
0.017245,covid,20200522
0.001312,covid,20200523
0.003092,covid,20200524
0.005756,covid,20200525
0.008457,covid,20200526
0.0,covid,20200527
0.003208,covid,20200528
0.005909,covid,20200529
0.002934,covid,20200530
0.000918,covid,20200531
0.0006349999999999999,covid,20200601
0.0012,covid,20200602
0.00216,covid,20200603
0.005115,covid,20200604
0.001459,covid,20200605
0.000459,covid,20200606
0.0,covid,20200607
0.001731,covid,20200608
0.002101,covid,20200609
0.001137,covid,20200610
0.00048300000000000003,covid,20200611
0.001503,covid,20200612
0.004968,covid,20200613
0.013352000000000001,covid,20200614
0.0037979999999999997,covid,20200615
0.007612000000000001,covid,20200616
0.001374,covid,20200617
0.00047999999999999996,covid,20200618
0.000504,covid,20200619
0.00267,covid,20200620
0.004784,covid,20200621
0.006247,covid,20200622
0.005529999999999999,covid,20200623
0.0052829999999999995,covid,20200624
0.00218,covid,20200625
0.004924,covid,20200626
0.009029,covid,20200627
0.001497,covid,20200628
0.005138,covid,20200629
0.00303,covid,20200630
0.004621,covid,20200701
0.0,covid,20200702
0.004058,covid,20200703
0.0040490000000000005,covid,20200704
0.008223000000000001,covid,20200705
0.0,covid,20200706
0.0010400000000000001,covid,20200707
0.001811,covid,20200708
0.003664,covid,20200709
0.0,covid,20200710
0.000775,covid,20200711
0.002475,covid,20200712
0.01168,covid,20200713
0.019001,covid,20200714
0.001403,covid,20200715
0.002773,covid,20200716
0.002195,covid,20200717
0.035146,covid,20200718
0.004118999999999999,covid,20200719
0.005528,covid,20200720
0.012743,covid,20200721
0.0011710000000000002,covid,20200722
0.01426,covid,20200723
0.004499,covid,20200724
0.006043,covid,20200725
0.000454,covid,20200726
0.0009050000000000001,covid,20200727
0.006456,covid,20200728
0.005503,covid,20200729
0.003192,covid,20200730
0.006156,covid,20200731
0.002852,covid,20200801
0.001531,covid,20200802
0.005753,covid,20200803
0.0034479999999999997,covid,20200804
0.008325,covid,20200805
0.013461,covid,20200806
0.0,covid,20200807
0.007712999999999999,covid,20200808
