Percent,Indicator,Date
0.004075,covid,20200501
0.000595,covid,20200502
0.005888,covid,20200503
0.006723000000000001,covid,20200504
0.008094,covid,20200505
0.006306,covid,20200506
0.005984000000000001,covid,20200507
0.007840999999999999,covid,20200508
0.00489,covid,20200509
0.006778,covid,20200510
0.007326999999999999,covid,20200511
0.008805,covid,20200512
0.004618,covid,20200513
0.005785,covid,20200514
0.0040950000000000005,covid,20200515
0.006007,covid,20200516
0.0070209999999999995,covid,20200517
0.005866,covid,20200518
0.006072999999999999,covid,20200519
0.00358,covid,20200520
0.007527,covid,20200521
0.002797,covid,20200522
0.002921,covid,20200523
0.008578,covid,20200524
0.006711,covid,20200525
0.006861,covid,20200526
0.008912,covid,20200527
0.004487,covid,20200528
0.004332,covid,20200529
0.011701000000000001,covid,20200530
0.005028,covid,20200601
0.004345,covid,20200602
0.0017649999999999999,covid,20200603
0.00732,covid,20200604
0.0054009999999999996,covid,20200605
0.002907,covid,20200606
0.021994999999999997,covid,20200607
0.007026999999999999,covid,20200608
0.008043999999999999,covid,20200609
0.006804000000000001,covid,20200610
0.004328,covid,20200611
0.007083,covid,20200612
0.005664,covid,20200613
0.006197,covid,20200614
0.004995,covid,20200615
0.02045,covid,20200616
0.007552,covid,20200617
0.005059,covid,20200618
0.008856999999999999,covid,20200619
0.004582,covid,20200620
0.0035210000000000003,covid,20200621
0.00815,covid,20200622
0.006852,covid,20200623
0.003136,covid,20200624
0.015603,covid,20200625
0.005477,covid,20200626
0.0045,covid,20200627
0.003811,covid,20200628
0.001816,covid,20200629
0.0054600000000000004,covid,20200630
0.008028,covid,20200701
0.003083,covid,20200702
0.008782,covid,20200703
0.004598,covid,20200704
0.010562,covid,20200705
0.004762,covid,20200706
0.008743,covid,20200707
0.01462,covid,20200708
0.007525,covid,20200709
0.004149,covid,20200710
0.008860999999999999,covid,20200711
0.0032170000000000002,covid,20200712
0.022862999999999998,covid,20200713
0.005000999999999999,covid,20200714
0.003048,covid,20200715
0.002784,covid,20200716
0.006461,covid,20200717
0.0045850000000000005,covid,20200718
0.007137999999999999,covid,20200719
0.009507999999999999,covid,20200720
0.006996,covid,20200721
0.045594,covid,20200722
0.006873000000000001,covid,20200723
0.0034799999999999996,covid,20200724
0.00468,covid,20200725
0.004591,covid,20200726
0.004797999999999999,covid,20200727
0.0062,covid,20200728
0.013978999999999998,covid,20200729
0.007783,covid,20200730
0.002239,covid,20200801
0.002699,covid,20200802
0.00412,covid,20200803
0.003571,covid,20200804
0.038875,covid,20200805
0.004984000000000001,covid,20200806
0.007461,covid,20200807
0.008665,covid,20200808
0.008527,covid,20200809
0.003729,covid,20200810
0.001945,covid,20200811
0.004159,covid,20200812
0.006179,covid,20200813
0.002779,covid,20200814
0.003029,covid,20200815
0.00299,covid,20200816
0.004004,covid,20200817
0.01753,covid,20200818
0.008556,covid,20200819
0.005314,covid,20200820
0.004871,covid,20200821
0.006227,covid,20200822
0.00867,covid,20200823
0.004965,covid,20200824
0.008348000000000001,covid,20200825
0.008549,covid,20200826
0.014286000000000002,covid,20200827
0.0058189999999999995,covid,20200828
0.006718000000000001,covid,20200829
0.012182,covid,20200830
