Percent,Indicator,Date
0.007143000000000001,covid,20200501
0.007404000000000001,covid,20200502
0.006951000000000001,covid,20200503
0.009561,covid,20200504
0.009058,covid,20200505
0.005647,covid,20200506
0.005811,covid,20200507
0.005849,covid,20200508
0.006668,covid,20200509
0.006464,covid,20200510
0.006756,covid,20200511
0.006975,covid,20200512
0.007331,covid,20200513
0.007831,covid,20200514
0.007898,covid,20200515
0.00842,covid,20200516
0.009234000000000001,covid,20200517
0.008851999999999999,covid,20200518
0.011382,covid,20200519
0.010433,covid,20200520
0.009685,covid,20200521
0.009035,covid,20200522
0.00826,covid,20200523
0.005725,covid,20200524
0.005508,covid,20200525
0.003848,covid,20200526
0.0035770000000000003,covid,20200527
0.003915,covid,20200528
0.004568,covid,20200529
0.004675,covid,20200530
0.004104,covid,20200601
0.004599,covid,20200602
0.005777,covid,20200603
0.005666,covid,20200604
0.005286,covid,20200605
0.0053549999999999995,covid,20200606
0.005487,covid,20200607
0.0050219999999999996,covid,20200608
0.004589,covid,20200609
0.0033710000000000003,covid,20200610
0.0033810000000000003,covid,20200611
0.002839,covid,20200612
0.0025050000000000003,covid,20200613
0.002694,covid,20200614
0.0036030000000000003,covid,20200615
0.0035770000000000003,covid,20200616
0.004448,covid,20200617
0.006431999999999999,covid,20200618
0.006555,covid,20200619
0.007706,covid,20200620
0.0071920000000000005,covid,20200621
0.008436,covid,20200622
0.009373000000000001,covid,20200623
0.008787,covid,20200624
0.005406,covid,20200625
0.005722,covid,20200626
0.0050100000000000006,covid,20200627
0.005471,covid,20200628
0.0039380000000000005,covid,20200629
0.004476,covid,20200630
0.003929,covid,20200701
0.004872,covid,20200702
0.00498,covid,20200703
0.005370000000000001,covid,20200704
0.006840000000000001,covid,20200705
0.007028,covid,20200706
0.005582,covid,20200707
0.006714,covid,20200708
0.007011,covid,20200709
0.006677,covid,20200710
0.00601,covid,20200711
0.004682,covid,20200712
0.005642,covid,20200713
0.006987999999999999,covid,20200714
0.005896,covid,20200715
0.00535,covid,20200716
0.006255,covid,20200717
0.007437999999999999,covid,20200718
0.008617,covid,20200719
0.007953,covid,20200720
0.007117,covid,20200721
0.008293,covid,20200722
0.008152,covid,20200723
0.008092,covid,20200724
0.007127,covid,20200725
0.006309,covid,20200726
0.005725,covid,20200727
0.005785,covid,20200728
0.0052710000000000005,covid,20200729
0.005598,covid,20200730
0.007597,covid,20200801
0.008312,covid,20200802
0.008777,covid,20200803
0.009883,covid,20200804
0.012625,covid,20200805
0.011595000000000001,covid,20200806
0.011354000000000001,covid,20200807
0.012123,covid,20200808
0.010985,covid,20200809
