Percent,Indicator,Date
0.000516,covid,20200501
0.000723,covid,20200502
0.003181,covid,20200503
0.008308,covid,20200504
0.007970999999999999,covid,20200505
0.002059,covid,20200506
0.0008349999999999999,covid,20200507
0.004074,covid,20200508
0.0013800000000000002,covid,20200509
0.002546,covid,20200510
0.001164,covid,20200511
0.000834,covid,20200512
0.0,covid,20200513
0.0023309999999999997,covid,20200514
0.0016420000000000002,covid,20200515
0.001731,covid,20200516
0.00101,covid,20200517
0.002167,covid,20200518
0.00359,covid,20200519
0.002553,covid,20200520
0.003243,covid,20200521
0.000916,covid,20200522
0.0007610000000000001,covid,20200523
0.000546,covid,20200524
0.002078,covid,20200525
0.0,covid,20200526
0.00034500000000000004,covid,20200527
0.0008849999999999999,covid,20200528
0.002111,covid,20200529
0.000676,covid,20200530
0.000359,covid,20200601
0.001295,covid,20200602
0.004259000000000001,covid,20200603
0.002444,covid,20200604
0.0013289999999999999,covid,20200605
0.001056,covid,20200606
0.001685,covid,20200607
0.005393,covid,20200608
0.001811,covid,20200609
0.00428,covid,20200610
0.003275,covid,20200611
0.004545,covid,20200612
0.000718,covid,20200613
0.00027400000000000005,covid,20200614
0.001993,covid,20200615
0.003558,covid,20200616
0.0,covid,20200617
0.01939,covid,20200618
0.000637,covid,20200619
0.001228,covid,20200620
0.0,covid,20200621
0.0,covid,20200622
0.002075,covid,20200623
0.002706,covid,20200624
0.0017420000000000003,covid,20200625
0.003568,covid,20200626
0.0,covid,20200627
0.001732,covid,20200628
0.000637,covid,20200629
0.001972,covid,20200630
0.001152,covid,20200701
0.000906,covid,20200702
0.0,covid,20200703
0.005508,covid,20200704
0.0,covid,20200705
0.000925,covid,20200706
0.0035340000000000002,covid,20200707
0.0035060000000000004,covid,20200708
0.001239,covid,20200709
0.0005769999999999999,covid,20200710
0.012256,covid,20200711
0.000983,covid,20200712
0.0015400000000000001,covid,20200713
0.004733,covid,20200714
0.002838,covid,20200715
0.002117,covid,20200716
0.003746,covid,20200717
0.000308,covid,20200718
0.004711,covid,20200719
0.000867,covid,20200720
0.002709,covid,20200721
0.0032770000000000004,covid,20200722
0.001791,covid,20200723
0.0027170000000000002,covid,20200724
0.008186,covid,20200725
0.001645,covid,20200726
0.007926,covid,20200727
0.0009660000000000001,covid,20200728
0.008203,covid,20200729
0.001999,covid,20200730
0.00228,covid,20200801
0.01236,covid,20200802
0.003,covid,20200803
0.004164999999999999,covid,20200804
0.002084,covid,20200805
0.0034590000000000003,covid,20200806
0.001236,covid,20200807
0.002588,covid,20200808
0.001358,covid,20200809
0.005161,covid,20200810
0.002463,covid,20200811
0.005072,covid,20200812
0.001067,covid,20200813
0.003011,covid,20200814
0.00099,covid,20200815
0.006212,covid,20200816
0.003625,covid,20200817
0.0021449999999999998,covid,20200818
0.012153,covid,20200819
0.0028120000000000003,covid,20200820
0.0,covid,20200821
0.0052380000000000005,covid,20200822
0.005775,covid,20200823
0.000335,covid,20200824
0.003631,covid,20200825
0.0029010000000000004,covid,20200826
0.000936,covid,20200827
0.006465,covid,20200828
0.001239,covid,20200829
0.006218,covid,20200830
0.0033009999999999997,covid,20200901
0.006102000000000001,covid,20200902
0.000729,covid,20200903
0.002449,covid,20200904
0.001408,covid,20200905
0.009012000000000001,covid,20200906
0.00161,covid,20200907
0.002121,covid,20200908
0.0036609999999999998,covid,20200909
0.005625,covid,20200910
0.002124,covid,20200911
0.0012980000000000001,covid,20200912
0.002001,covid,20200913
0.000866,covid,20200914
0.001629,covid,20200915
0.005742000000000001,covid,20200916
0.003594,covid,20200917
0.000458,covid,20200918
0.00047999999999999996,covid,20200919
0.003112,covid,20200920
0.003476,covid,20200921
0.002677,covid,20200922
0.0036490000000000003,covid,20200923
0.003476,covid,20200924
0.003031,covid,20200925
0.0021920000000000004,covid,20200926
0.0032259999999999997,covid,20200927
0.001547,covid,20200928
0.004802000000000001,covid,20200929
0.006372999999999999,covid,20200930
0.002097,covid,20201001
0.0023239999999999997,covid,20201002
0.001993,covid,20201003
0.004703,covid,20201004
0.004638000000000001,covid,20201005
0.005542,covid,20201006
0.00677,covid,20201007
0.004614,covid,20201008
0.0,covid,20201009
0.0,covid,20201010
0.006923,covid,20201011
0.002786,covid,20201012
0.004665,covid,20201013
0.005753,covid,20201014
0.0006450000000000001,covid,20201015
0.004452,covid,20201016
0.034234,covid,20201017
0.008357999999999999,covid,20201018
0.0033369999999999997,covid,20201019
0.00048600000000000005,covid,20201020
0.007929,covid,20201021
0.00777,covid,20201022
0.002315,covid,20201023
0.004146,covid,20201024
0.0011279999999999999,covid,20201025
0.002897,covid,20201027
0.004079999999999999,covid,20201028
0.002719,covid,20201029
0.004864,covid,20201030
0.0039700000000000004,covid,20201101
0.007895000000000001,covid,20201102
0.011583,covid,20201103
0.005638000000000001,covid,20201104
0.001585,covid,20201105
0.010104,covid,20201106
0.011881999999999998,covid,20201107
0.006294,covid,20201108
0.027494,covid,20201109
0.007311,covid,20201110
0.0037909999999999997,covid,20201111
0.008416,covid,20201112
0.005938000000000001,covid,20201113
0.0,covid,20201114
0.0057399999999999994,covid,20201115
0.022959,covid,20201116
0.011274,covid,20201117
0.012623,covid,20201118
0.005305,covid,20201119
0.005252000000000001,covid,20201120
0.007698999999999999,covid,20201121
0.004529999999999999,covid,20201122
0.006156,covid,20201123
0.006693999999999999,covid,20201124
0.008535,covid,20201125
0.006072,covid,20201126
0.0032020000000000004,covid,20201127
0.007745999999999999,covid,20201128
0.004502,covid,20201129
0.004367,covid,20201130
0.007714,covid,20201201
0.002687,covid,20201202
0.0009939999999999999,covid,20201203
0.006579000000000001,covid,20201204
0.003896,covid,20201205
0.008315000000000001,covid,20201206
0.011517,covid,20201207
0.003811,covid,20201208
0.0030800000000000003,covid,20201209
0.0037070000000000002,covid,20201210
0.009775,covid,20201211
0.002826,covid,20201212
0.0,covid,20201213
0.007034,covid,20201214
0.008703,covid,20201215
0.011973000000000001,covid,20201216
0.001847,covid,20201217
0.009257,covid,20201218
0.0012050000000000001,covid,20201219
0.005067,covid,20201220
0.00212,covid,20201221
0.009602,covid,20201222
0.001367,covid,20201223
0.000924,covid,20201224
0.004836,covid,20201225
0.003169,covid,20201226
0.004932,covid,20201227
0.001288,covid,20201228
0.015911,covid,20201229
0.004063000000000001,covid,20201230
0.00473,covid,20210101
0.004326,covid,20210102
0.009106999999999999,covid,20210103
0.00968,covid,20210104
0.0,covid,20210105
0.008140999999999999,covid,20210106
0.002199,covid,20210107
0.0,covid,20210108
0.000472,covid,20210109
0.006987999999999999,covid,20210110
0.005628,covid,20210111
0.004833,covid,20210112
0.0010890000000000001,covid,20210113
0.010134,covid,20210114
0.005212,covid,20210115
0.0,covid,20210116
0.002029,covid,20210117
0.0029170000000000003,covid,20210118
0.002198,covid,20210119
0.002606,covid,20210120
0.006934,covid,20210121
0.003997,covid,20210122
0.001575,covid,20210123
0.000833,covid,20210124
0.003218,covid,20210125
0.005072999999999999,covid,20210126
0.001492,covid,20210127
0.005268,covid,20210128
0.0036479999999999998,covid,20210129
0.003997,covid,20210130
0.001955,covid,20210201
0.004376,covid,20210202
0.003452,covid,20210203
0.003283,covid,20210204
0.0029519999999999998,covid,20210205
0.004163,covid,20210206
0.006976,covid,20210207
0.006927,covid,20210208
0.0036060000000000003,covid,20210209
0.002375,covid,20210210
0.007059,covid,20210211
0.004259000000000001,covid,20210212
0.010092,covid,20210213
0.002397,covid,20210214
0.013113,covid,20210215
0.004644,covid,20210216
0.000638,covid,20210217
0.008442,covid,20210218
0.0028280000000000002,covid,20210219
0.016505000000000002,covid,20210220
0.0009279999999999999,covid,20210221
0.0045049999999999995,covid,20210222
0.005247,covid,20210223
0.000516,flu,20200501
0.000723,flu,20200502
0.00263,flu,20200503
0.0009480000000000001,flu,20200504
0.00821,flu,20200505
0.002059,flu,20200506
0.0008349999999999999,flu,20200507
0.004074,flu,20200508
0.0013800000000000002,flu,20200509
0.002507,flu,20200510
0.005014,flu,20200511
0.000834,flu,20200512
0.0,flu,20200513
0.003046,flu,20200514
0.002606,flu,20200515
0.002007,flu,20200516
0.00101,flu,20200517
0.001037,flu,20200518
0.0038450000000000003,flu,20200519
0.0033659999999999996,flu,20200520
0.004267,flu,20200521
0.000916,flu,20200522
0.001051,flu,20200523
0.000546,flu,20200524
0.002078,flu,20200525
0.0,flu,20200526
0.0008300000000000001,flu,20200527
0.002523,flu,20200528
0.009834,flu,20200529
0.000676,flu,20200530
0.000359,flu,20200601
0.001704,flu,20200602
0.004259000000000001,flu,20200603
0.002444,flu,20200604
0.0013289999999999999,flu,20200605
0.001135,flu,20200606
0.002376,flu,20200607
0.003924,flu,20200608
0.0010400000000000001,flu,20200609
0.004488000000000001,flu,20200610
0.007256,flu,20200611
0.004569,flu,20200612
0.002286,flu,20200613
0.00027400000000000005,flu,20200614
0.001993,flu,20200615
0.002447,flu,20200616
0.0014320000000000001,flu,20200617
0.020224000000000002,flu,20200618
0.002141,flu,20200619
0.0017989999999999998,flu,20200620
0.0007379999999999999,flu,20200621
0.001075,flu,20200622
0.002075,flu,20200623
0.00312,flu,20200624
0.0,flu,20200625
0.004118999999999999,flu,20200626
0.0,flu,20200627
0.00252,flu,20200628
0.000637,flu,20200629
0.001972,flu,20200630
0.00043099999999999996,flu,20200701
0.000906,flu,20200702
0.0,flu,20200703
0.006470999999999999,flu,20200704
0.0,flu,20200705
0.001591,flu,20200706
0.0035340000000000002,flu,20200707
0.000675,flu,20200708
0.0013160000000000001,flu,20200709
0.0005769999999999999,flu,20200710
0.012256,flu,20200711
0.0029010000000000004,flu,20200712
0.002154,flu,20200713
0.001047,flu,20200714
0.00474,flu,20200715
0.001644,flu,20200716
0.003746,flu,20200717
0.001144,flu,20200718
0.005992,flu,20200719
0.0019100000000000002,flu,20200720
0.003098,flu,20200721
0.0032770000000000004,flu,20200722
0.0035770000000000003,flu,20200723
0.001772,flu,20200724
0.009136,flu,20200725
0.001884,flu,20200726
0.008303,flu,20200727
0.003043,flu,20200728
0.006211,flu,20200729
0.001999,flu,20200730
0.00285,flu,20200801
0.01236,flu,20200802
0.003,flu,20200803
0.006692,flu,20200804
0.002924,flu,20200805
0.008697,flu,20200806
0.000993,flu,20200807
0.002576,flu,20200808
0.0024059999999999997,flu,20200809
0.005259000000000001,flu,20200810
0.001811,flu,20200811
0.005952000000000001,flu,20200812
0.000599,flu,20200813
0.00151,flu,20200814
0.0067,flu,20200815
0.006672,flu,20200816
0.003625,flu,20200817
0.0024519999999999998,flu,20200818
0.006166,flu,20200819
0.004375,flu,20200820
0.000327,flu,20200821
0.0052380000000000005,flu,20200822
0.0063549999999999995,flu,20200823
0.001033,flu,20200824
0.0040149999999999995,flu,20200825
0.0029010000000000004,flu,20200826
0.000936,flu,20200827
0.008625,flu,20200828
0.002263,flu,20200829
0.00571,flu,20200830
0.0038200000000000005,flu,20200901
0.005104999999999999,flu,20200902
0.0016579999999999998,flu,20200903
0.002449,flu,20200904
0.001408,flu,20200905
0.010962000000000001,flu,20200906
0.0034770000000000005,flu,20200907
0.002121,flu,20200908
0.0036609999999999998,flu,20200909
0.005045,flu,20200910
0.002164,flu,20200911
0.000719,flu,20200912
0.00243,flu,20200913
0.000398,flu,20200914
0.004762,flu,20200915
0.004012,flu,20200916
0.003594,flu,20200917
0.000458,flu,20200918
0.00047999999999999996,flu,20200919
0.003112,flu,20200920
0.003476,flu,20200921
0.0024920000000000003,flu,20200922
0.0028179999999999998,flu,20200923
0.0022170000000000002,flu,20200924
0.003031,flu,20200925
0.002925,flu,20200926
0.002989,flu,20200927
0.001547,flu,20200928
0.0053,flu,20200929
