Percent,Indicator,Date
0.008986,covid,20200501
0.009145,covid,20200502
0.009464,covid,20200503
0.007892,covid,20200504
0.008369,covid,20200505
0.010312,covid,20200506
0.007589,covid,20200507
0.005828,covid,20200508
0.005396,covid,20200509
0.00557,covid,20200510
0.006234,covid,20200511
0.00632,covid,20200512
0.005619,covid,20200513
0.005357,covid,20200514
0.006072,covid,20200515
0.007183,covid,20200516
0.008501,covid,20200517
0.008219,covid,20200518
0.008565999999999999,covid,20200519
0.008343999999999999,covid,20200520
0.009087,covid,20200521
0.008776,covid,20200522
0.008223000000000001,covid,20200523
0.007662,covid,20200524
0.007442,covid,20200525
0.008069,covid,20200526
0.008669,covid,20200527
0.008537000000000001,covid,20200528
0.008768000000000001,covid,20200529
0.008722,covid,20200530
0.0063490000000000005,covid,20200601
0.005673,covid,20200602
0.0044469999999999996,covid,20200603
0.003941,covid,20200604
0.0046,covid,20200605
0.005162,covid,20200606
0.005522999999999999,covid,20200607
0.0062640000000000005,covid,20200608
0.005884,covid,20200609
0.006258,covid,20200610
0.0063219999999999995,covid,20200611
0.005072999999999999,covid,20200612
0.005011,covid,20200613
0.005752,covid,20200614
0.005043,covid,20200615
0.006217,covid,20200616
0.007294,covid,20200617
0.007449,covid,20200618
0.007654,covid,20200619
0.007186,covid,20200620
0.006378,covid,20200621
0.006296,covid,20200622
0.0060880000000000005,covid,20200623
0.005057,covid,20200624
0.005849,covid,20200625
0.0063100000000000005,covid,20200626
0.006511,covid,20200627
0.006881,covid,20200628
0.007039,covid,20200629
0.008034,covid,20200630
0.00763,covid,20200701
0.006788,covid,20200702
0.006274,covid,20200703
0.006725,covid,20200704
0.006984000000000001,covid,20200705
0.007961,covid,20200706
0.006254,covid,20200707
0.007652,covid,20200708
0.007914000000000001,covid,20200709
0.008348999999999999,covid,20200710
0.008437,covid,20200711
0.008443,covid,20200712
0.007531,covid,20200713
0.00707,covid,20200714
0.007078,covid,20200715
0.007358,covid,20200716
0.007885,covid,20200717
0.006901999999999999,covid,20200718
0.006523,covid,20200719
0.008139,covid,20200720
0.00861,covid,20200721
0.008128,covid,20200722
0.008661,covid,20200723
0.00826,covid,20200724
0.008959,covid,20200725
0.009572,covid,20200726
0.008537000000000001,covid,20200727
0.009304999999999999,covid,20200728
0.009764,covid,20200729
0.009196,covid,20200730
0.011139,covid,20200801
0.010664,covid,20200802
0.010145,covid,20200803
0.010029999999999999,covid,20200804
0.009914,covid,20200805
0.009628,covid,20200806
0.008959,covid,20200807
0.006776999999999999,covid,20200808
0.006807,covid,20200809
0.007348,covid,20200810
0.007443000000000001,covid,20200811
0.007612000000000001,covid,20200812
0.008005,covid,20200813
0.008359,covid,20200814
0.008320000000000001,covid,20200815
0.00928,covid,20200816
0.009518,covid,20200817
0.009261,covid,20200818
0.010214,covid,20200819
0.009226999999999999,covid,20200820
0.010033,covid,20200821
0.011225,covid,20200822
0.01094,covid,20200823
0.010657,covid,20200824
0.011375,covid,20200825
0.010504000000000001,covid,20200826
0.013294,covid,20200827
0.013092,covid,20200828
0.013191999999999999,covid,20200829
0.012506,covid,20200830
0.015147,covid,20200901
0.015413999999999999,covid,20200902
0.015275,covid,20200903
0.015608000000000002,covid,20200904
0.015553,covid,20200905
0.016102,covid,20200906
0.016388,covid,20200907
0.016684,covid,20200908
0.015615,covid,20200909
0.014916,covid,20200910
0.015799,covid,20200911
0.0159,covid,20200912
0.015902,covid,20200913
0.016694,covid,20200914
0.016172,covid,20200915
0.018049000000000003,covid,20200916
0.019813,covid,20200917
0.019484,covid,20200918
0.018764,covid,20200919
0.018305000000000002,covid,20200920
0.017514,covid,20200921
0.016744,covid,20200922
0.014731000000000001,covid,20200923
0.012425,covid,20200924
0.012472,covid,20200925
0.012329999999999999,covid,20200926
0.012129000000000001,covid,20200927
0.011361,covid,20200928
0.010643000000000001,covid,20200929
0.011590000000000001,covid,20200930
0.012065000000000001,covid,20201001
0.010405,covid,20201002
0.01025,covid,20201003
0.011165999999999999,covid,20201004
0.011466,covid,20201005
0.012312,covid,20201006
0.012785,covid,20201007
0.011965,covid,20201008
0.013012000000000001,covid,20201009
0.013309,covid,20201010
0.011188,covid,20201011
0.010867,covid,20201012
0.010576,covid,20201013
0.009016,covid,20201014
0.008637,covid,20201015
0.009738,covid,20201016
0.010506,covid,20201017
0.011863,covid,20201018
0.011901,covid,20201019
0.011701000000000001,covid,20201020
0.012231,covid,20201021
0.013705000000000002,covid,20201022
0.012023,covid,20201023
0.012204000000000001,covid,20201024
0.012366,covid,20201025
0.011786,covid,20201026
0.011683,covid,20201027
0.012629999999999999,covid,20201028
0.011890000000000001,covid,20201029
0.011833,covid,20201030
0.011737000000000001,covid,20201101
