Percent,Indicator,Date
0.002313,covid,20200501
0.002001,covid,20200502
0.002545,covid,20200503
0.000551,covid,20200504
0.000986,covid,20200505
0.0028280000000000002,covid,20200506
0.001894,covid,20200507
0.005202,covid,20200508
0.003304,covid,20200509
0.000333,covid,20200510
0.001258,covid,20200511
0.0019320000000000001,covid,20200512
0.005144,covid,20200513
0.000536,covid,20200514
0.0010630000000000001,covid,20200515
0.0027489999999999997,covid,20200516
0.001065,covid,20200517
0.000676,covid,20200518
9.8e-05,covid,20200519
0.0025629999999999997,covid,20200520
0.002085,covid,20200521
0.008173999999999999,covid,20200522
0.001206,covid,20200523
0.001482,covid,20200524
0.007001,covid,20200525
0.000167,covid,20200526
0.0021609999999999997,covid,20200527
0.001565,covid,20200528
0.002935,covid,20200529
0.006369,covid,20200530
0.003392,covid,20200531
0.0016420000000000002,covid,20200601
0.001891,covid,20200602
0.001045,covid,20200603
0.000335,covid,20200604
0.000265,covid,20200605
0.0008869999999999999,covid,20200606
0.00013700000000000002,covid,20200607
0.0017809999999999998,covid,20200608
0.003124,covid,20200609
0.002301,covid,20200610
0.001573,covid,20200611
0.002867,covid,20200612
0.001352,covid,20200613
0.00040300000000000004,covid,20200614
0.0,covid,20200615
0.001745,covid,20200616
0.000199,covid,20200617
0.0025050000000000003,covid,20200618
0.002208,covid,20200619
0.000133,covid,20200620
0.00066,covid,20200621
0.000128,covid,20200622
0.000412,covid,20200623
0.000433,covid,20200624
0.000263,covid,20200625
0.001545,covid,20200626
0.0012929999999999999,covid,20200627
0.0008820000000000001,covid,20200628
0.0,covid,20200629
0.000778,covid,20200630
0.0,covid,20200701
0.002491,covid,20200702
0.0033350000000000003,covid,20200703
0.0027010000000000003,covid,20200704
0.001168,covid,20200705
0.000225,covid,20200706
0.000272,covid,20200707
0.0012619999999999999,covid,20200708
0.0,covid,20200709
0.0,covid,20200710
0.0,covid,20200711
0.000884,covid,20200712
0.0010140000000000001,covid,20200713
0.0008550000000000001,covid,20200714
0.001253,covid,20200715
0.002392,covid,20200716
0.0019190000000000001,covid,20200717
0.0014119999999999998,covid,20200718
0.0,covid,20200719
0.000676,covid,20200720
0.002815,covid,20200721
0.002221,covid,20200722
0.0,covid,20200723
0.002141,covid,20200724
0.001307,covid,20200725
0.002532,covid,20200726
0.001334,covid,20200727
0.00112,covid,20200728
0.001253,covid,20200729
0.002579,covid,20200730
0.001825,covid,20200731
0.003145,covid,20200801
0.0005009999999999999,covid,20200802
0.002043,covid,20200803
0.004098,covid,20200804
0.001913,covid,20200805
0.001183,covid,20200806
0.000591,covid,20200807
0.000624,covid,20200808
0.000695,covid,20200809
0.002898,covid,20200810
0.0,covid,20200811
0.000962,covid,20200812
0.002359,covid,20200813
0.000597,covid,20200814
0.002314,covid,20200815
0.000776,covid,20200816
0.002436,covid,20200817
0.0034409999999999996,covid,20200818
0.002628,covid,20200819
0.00035,covid,20200820
0.0,covid,20200821
0.003077,covid,20200822
0.001523,covid,20200823
0.000941,covid,20200824
0.0026260000000000003,covid,20200825
0.0006389999999999999,covid,20200826
0.001121,covid,20200827
0.000942,covid,20200828
0.002483,covid,20200829
0.0008759999999999999,covid,20200830
0.003563,covid,20200831
0.000424,covid,20200901
0.003107,covid,20200902
0.000168,covid,20200903
0.0007610000000000001,covid,20200904
0.003008,covid,20200905
0.004155,covid,20200906
0.0034490000000000002,covid,20200907
0.004548,covid,20200908
0.0012380000000000002,covid,20200909
0.002773,covid,20200910
0.002916,covid,20200911
0.0009550000000000001,covid,20200912
0.0031100000000000004,covid,20200913
0.003468,covid,20200914
0.004196,covid,20200915
0.004262,covid,20200916
0.001083,covid,20200917
0.0019079999999999998,covid,20200918
0.001351,covid,20200919
0.001465,covid,20200920
0.0007480000000000001,covid,20200921
0.002114,covid,20200922
0.002207,covid,20200923
0.000549,covid,20200924
0.00421,covid,20200925
0.006379,covid,20200926
0.00344,covid,20200927
0.001008,covid,20200928
0.00201,covid,20200929
0.00352,covid,20200930
0.000424,covid,20200901
0.003107,covid,20200902
0.000168,covid,20200903
0.0007610000000000001,covid,20200904
0.003008,covid,20200905
0.004155,covid,20200906
0.0034490000000000002,covid,20200907
0.004548,covid,20200908
0.0012380000000000002,covid,20200909
0.002176,covid,20201010
0.010945,covid,20201011
0.002235,covid,20201012
0.002269,covid,20201013
0.002393,covid,20201014
0.00373,covid,20201015
0.005629,covid,20201016
0.002261,covid,20201017
0.001841,covid,20201018
0.002921,covid,20201019
0.001158,covid,20201020
0.007795000000000001,covid,20201021
0.0014449999999999999,covid,20201022
0.0033659999999999996,covid,20201023
0.0036090000000000002,covid,20201024
0.008823000000000001,covid,20201025
0.0,covid,20201026
0.001913,covid,20201027
0.004292,covid,20201028
0.006648,covid,20201029
0.005145,covid,20201030
0.002722,covid,20201031
0.002541,covid,20201001
0.00021099999999999998,covid,20201002
0.00206,covid,20201003
0.003571,covid,20201004
0.002618,covid,20201005
0.003892,covid,20201006
0.001848,covid,20201007
0.001428,covid,20201008
0.002578,covid,20201009
0.003896,covid,20201110
0.00151,covid,20201111
0.005646,covid,20201112
0.006915999999999999,covid,20201113
0.004187,covid,20201114
0.0028399999999999996,covid,20201115
0.004415,covid,20201116
0.003053,covid,20201117
0.0037090000000000005,covid,20201118
0.003549,covid,20201119
0.004683,covid,20201120
0.00195,covid,20201121
0.006594,covid,20201122
0.0031100000000000004,covid,20201123
0.0021449999999999998,covid,20201124
0.001247,covid,20201125
0.002084,covid,20201126
0.004333,covid,20201127
0.001905,covid,20201128
0.00099,covid,20201129
0.006338,covid,20201130
0.0026550000000000002,covid,20201101
0.0038200000000000005,covid,20201102
0.025095,covid,20201103
0.004451,covid,20201104
0.008109,covid,20201105
0.007443000000000001,covid,20201106
0.005425,covid,20201107
0.0021899999999999997,covid,20201108
0.00321,covid,20201109
0.005664,covid,20201210
0.0035009999999999998,covid,20201211
0.003251,covid,20201212
0.005764,covid,20201213
0.0047420000000000006,covid,20201214
0.00565,covid,20201215
0.00424,covid,20201216
0.001143,covid,20201217
0.020623,covid,20201218
0.001841,covid,20201219
0.0071719999999999996,covid,20201220
0.00053,covid,20201221
0.002779,covid,20201222
0.003043,covid,20201223
0.006706,covid,20201224
0.004425999999999999,covid,20201225
0.002803,covid,20201226
0.0037579999999999996,covid,20201227
0.003575,covid,20201228
0.00227,covid,20201229
0.004677000000000001,covid,20201230
0.002252,covid,20201231
0.0043939999999999995,covid,20210101
0.002606,covid,20210102
0.006426,covid,20210103
0.008112999999999999,covid,20210104
0.0034560000000000003,covid,20210105
0.013806,covid,20210106
0.003145,covid,20210107
0.010022,covid,20210108
0.0036609999999999998,covid,20210109
0.005227000000000001,covid,20210110
0.0033490000000000004,covid,20210111
0.008072,covid,20210112
0.0054280000000000005,covid,20210113
0.009151000000000001,covid,20210114
0.003856,covid,20210115
0.004945000000000001,covid,20210116
0.004124,covid,20210117
0.00549,covid,20210118
0.005999,covid,20210119
0.005268999999999999,covid,20210120
0.0028899999999999998,covid,20210121
0.007631999999999999,covid,20210122
0.00454,covid,20210123
0.003077,covid,20210124
0.006625,covid,20210125
0.004397,covid,20210126
0.008140000000000001,covid,20210127
0.004408,covid,20210128
0.007194,covid,20210129
0.002673,covid,20210130
0.006971,covid,20210131
0.005086,covid,20210201
0.004792,covid,20210202
0.004314,covid,20210203
0.004021,covid,20210204
0.003904,covid,20210205
0.00773,covid,20210206
0.002668,covid,20210207
0.004644,covid,20210208
0.004222,covid,20210209
0.003628,covid,20210210
0.003016,covid,20210211
0.003321,covid,20210212
0.004765999999999999,covid,20210213
0.007684999999999999,covid,20210214
0.0009699999999999999,covid,20210215
0.002195,covid,20210216
0.00804,covid,20210217
0.002208,covid,20210218
0.00164,covid,20210219
0.001454,covid,20210220
0.003658,covid,20210221
0.0030559999999999997,covid,20210222
0.002313,flu,20200501
0.002001,flu,20200502
0.003015,flu,20200503
0.000743,flu,20200504
0.0024289999999999997,flu,20200505
0.006131,flu,20200506
0.001894,flu,20200507
0.00253,flu,20200508
0.003237,flu,20200509
0.00065,flu,20200510
0.0018039999999999998,flu,20200511
0.0014789999999999998,flu,20200512
0.00581,flu,20200513
0.001068,flu,20200514
0.0010630000000000001,flu,20200515
0.003092,flu,20200516
0.000745,flu,20200517
0.0007070000000000001,flu,20200518
0.00035499999999999996,flu,20200519
0.002726,flu,20200520
0.002085,flu,20200521
0.008173999999999999,flu,20200522
0.003781,flu,20200523
0.001181,flu,20200524
0.007001,flu,20200525
0.001097,flu,20200526
0.0021609999999999997,flu,20200527
0.001565,flu,20200528
0.003343,flu,20200529
0.006369,flu,20200530
0.003991,flu,20200531
0.0016420000000000002,flu,20200601
0.001891,flu,20200602
0.001045,flu,20200603
0.000616,flu,20200604
0.001759,flu,20200605
0.001001,flu,20200606
0.00013700000000000002,flu,20200607
0.0017809999999999998,flu,20200608
0.004672,flu,20200609
0.002909,flu,20200610
0.002184,flu,20200611
0.0011619999999999998,flu,20200612
0.001956,flu,20200613
0.00040300000000000004,flu,20200614
0.0,flu,20200615
0.002097,flu,20200616
0.00047699999999999994,flu,20200617
0.00155,flu,20200618
0.002938,flu,20200619
0.003009,flu,20200620
0.0006900000000000001,flu,20200621
0.0006320000000000001,flu,20200622
0.001124,flu,20200623
0.0009449999999999999,flu,20200624
0.00049,flu,20200625
0.001545,flu,20200626
0.0012929999999999999,flu,20200627
0.000479,flu,20200628
0.000357,flu,20200629
0.003069,flu,20200630
0.00025699999999999996,flu,20200701
0.002491,flu,20200702
0.0033350000000000003,flu,20200703
0.003002,flu,20200704
0.00038199999999999996,flu,20200705
0.000225,flu,20200706
0.000867,flu,20200707
0.001013,flu,20200708
0.0,flu,20200709
0.00022400000000000002,flu,20200710
0.0,flu,20200711
0.000884,flu,20200712
0.0010140000000000001,flu,20200713
0.0011380000000000001,flu,20200714
0.001253,flu,20200715
0.006268999999999999,flu,20200716
0.000391,flu,20200717
0.001366,flu,20200718
0.000242,flu,20200719
0.0009449999999999999,flu,20200720
0.003714,flu,20200721
0.002579,flu,20200722
0.0009599999999999999,flu,20200723
0.0016899999999999999,flu,20200724
0.000573,flu,20200725
0.0028829999999999997,flu,20200726
0.001185,flu,20200727
0.00175,flu,20200728
0.0020399999999999997,flu,20200729
0.0029649999999999998,flu,20200730
0.002494,flu,20200731
0.0035259999999999996,flu,20200801
0.000962,flu,20200802
0.003091,flu,20200803
0.004339,flu,20200804
0.0017640000000000002,flu,20200805
0.001183,flu,20200806
0.0016300000000000002,flu,20200807
0.0009689999999999999,flu,20200808
0.001525,flu,20200809
0.002825,flu,20200810
0.0,flu,20200811
0.001737,flu,20200812
0.002863,flu,20200813
0.000597,flu,20200814
0.002664,flu,20200815
0.001222,flu,20200816
0.002436,flu,20200817
0.0034409999999999996,flu,20200818
0.0028710000000000003,flu,20200819
0.0011970000000000001,flu,20200820
0.0,flu,20200821
0.003271,flu,20200822
0.002348,flu,20200823
0.001255,flu,20200824
0.0031219999999999998,flu,20200825
0.0006389999999999999,flu,20200826
0.001121,flu,20200827
0.001645,flu,20200828
0.003408,flu,20200829
0.001288,flu,20200830
0.003235,flu,20200831
0.000424,flu,20200901
0.003149,flu,20200902
0.000168,flu,20200903
0.0007610000000000001,flu,20200904
0.0017929999999999999,flu,20200905
0.0045520000000000005,flu,20200906
0.006465,flu,20200907
0.003943,flu,20200908
0.002466,flu,20200909
0.0033420000000000004,flu,20200910
0.002916,flu,20200911
0.002582,flu,20200912
0.003353,flu,20200913
0.003468,flu,20200914
0.003251,flu,20200915
0.003176,flu,20200916
0.001477,flu,20200917
0.001741,flu,20200918
0.000953,flu,20200919
0.001675,flu,20200920
0.001387,flu,20200921
0.002829,flu,20200922
0.002625,flu,20200923
0.000588,flu,20200924
0.002397,flu,20200925
0.008347,flu,20200926
0.004014,flu,20200927
0.001008,flu,20200928
0.001213,flu,20200929
0.004158,flu,20200930
0.000424,flu,20200901
0.003149,flu,20200902
0.000168,flu,20200903
0.0007610000000000001,flu,20200904
0.0017929999999999999,flu,20200905
0.0045520000000000005,flu,20200906
0.006465,flu,20200907
0.003943,flu,20200908
0.002466,flu,20200909
0.002176,flu,20201010
0.011744,flu,20201011
0.002235,flu,20201012
0.003048,flu,20201013
0.003145,flu,20201014
0.00373,flu,20201015
0.006079,flu,20201016
0.0024879999999999998,flu,20201017
