Percent,Indicator,Date
0.0,covid,20200501
0.0,covid,20200502
0.002924,covid,20200503
0.002001,covid,20200504
0.001714,covid,20200505
0.0019089999999999999,covid,20200506
0.0,covid,20200507
0.0058200000000000005,covid,20200508
0.0,covid,20200509
0.006874,covid,20200510
0.001315,covid,20200511
0.001757,covid,20200512
0.0,covid,20200513
0.001802,covid,20200514
0.001634,covid,20200515
0.003058,covid,20200516
0.0,covid,20200517
0.002031,covid,20200518
0.003199,covid,20200519
0.000375,covid,20200520
0.0016239999999999998,covid,20200521
0.003399,covid,20200522
0.001509,covid,20200523
0.002069,covid,20200524
0.002167,covid,20200525
0.0044020000000000005,covid,20200526
0.001547,covid,20200527
0.0,covid,20200528
0.001077,covid,20200529
0.0020399999999999997,covid,20200530
0.007932999999999999,covid,20200531
0.0,covid,20200601
0.000978,covid,20200602
0.007233,covid,20200603
0.002188,covid,20200604
0.0,covid,20200605
0.002036,covid,20200606
0.0038759999999999997,covid,20200607
0.003141,covid,20200608
0.005593,covid,20200609
0.0,covid,20200610
0.0,covid,20200611
0.0,covid,20200612
0.001696,covid,20200613
0.002314,covid,20200614
0.002778,covid,20200615
0.0,covid,20200616
0.0045899999999999995,covid,20200617
0.009983,covid,20200618
0.004745,covid,20200619
0.008442,covid,20200620
0.004589,covid,20200621
0.005843999999999999,covid,20200622
0.007379999999999999,covid,20200623
0.003922999999999999,covid,20200624
0.006072,covid,20200625
0.001982,covid,20200626
0.008073,covid,20200627
0.0,covid,20200628
0.00162,covid,20200629
0.003042,covid,20200630
0.004636,covid,20200701
0.002627,covid,20200702
0.006417,covid,20200703
0.000595,covid,20200704
0.003593,covid,20200705
0.001164,covid,20200706
0.0031739999999999997,covid,20200707
0.001755,covid,20200708
0.004704,covid,20200709
0.00473,covid,20200710
0.004023,covid,20200711
0.0073549999999999996,covid,20200712
0.0,covid,20200713
0.0019210000000000002,covid,20200714
0.002092,covid,20200715
0.0035789999999999997,covid,20200716
0.002786,covid,20200717
0.0013189999999999999,covid,20200718
0.005136,covid,20200719
0.0,covid,20200720
0.004982,covid,20200721
0.007044,covid,20200722
0.024072,covid,20200723
0.010721,covid,20200724
0.0,covid,20200725
0.009427,covid,20200726
0.009228,covid,20200727
0.0037,covid,20200728
0.008668,covid,20200729
0.005193,covid,20200730
0.015341,covid,20200731
0.006490000000000001,covid,20200801
0.014991999999999998,covid,20200802
0.0,covid,20200803
0.001323,covid,20200804
0.006334,covid,20200805
0.0,covid,20200806
0.006422,covid,20200807
0.0021379999999999997,covid,20200808
0.0036229999999999995,covid,20200809
0.0056890000000000005,covid,20200810
0.0,covid,20200811
0.003088,covid,20200812
0.005000999999999999,covid,20200813
0.007522,covid,20200814
0.0,covid,20200815
0.006033,covid,20200816
0.001978,covid,20200817
0.0,covid,20200818
0.0037259999999999997,covid,20200819
0.0027719999999999997,covid,20200820
0.0008060000000000001,covid,20200821
0.001026,covid,20200822
0.00636,covid,20200823
0.0,covid,20200824
0.008892,covid,20200825
0.007659,covid,20200826
0.002518,covid,20200827
0.008506,covid,20200828
0.013905,covid,20200829
0.0068390000000000005,covid,20200830
0.002473,covid,20200831
0.009068999999999999,covid,20200901
0.003105,covid,20200902
0.0,covid,20200903
0.01056,covid,20200904
0.0,covid,20200905
0.004273,covid,20200906
0.006712999999999999,covid,20200907
0.001975,covid,20200908
0.005487,covid,20200909
0.002365,covid,20200910
0.003561,covid,20200911
0.015847999999999998,covid,20200912
0.0,covid,20200913
0.009004,covid,20200914
0.0,covid,20200915
0.0,covid,20200916
