Percent,Indicator,Date
0.0,covid,20200501
0.004136,covid,20200502
0.00128,covid,20200503
0.0,covid,20200504
0.006498,covid,20200505
0.002801,covid,20200506
0.002971,covid,20200507
0.00124,covid,20200508
0.0,covid,20200509
0.0,covid,20200510
0.001152,covid,20200511
0.0009939999999999999,covid,20200512
0.001725,covid,20200513
0.013045,covid,20200514
0.0,covid,20200515
0.0013210000000000001,covid,20200516
0.0,covid,20200517
0.0,covid,20200518
0.009381,covid,20200519
0.003819,covid,20200520
0.001402,covid,20200521
0.002207,covid,20200522
0.001068,covid,20200523
0.007318000000000001,covid,20200524
0.002164,covid,20200525
0.001519,covid,20200526
0.001766,covid,20200527
0.0,covid,20200528
0.0066560000000000005,covid,20200529
0.001362,covid,20200530
0.0,covid,20200531
0.018563999999999997,covid,20200601
0.0030329999999999997,covid,20200602
0.011655,covid,20200603
0.006811,covid,20200604
0.0,covid,20200605
0.015688999999999998,covid,20200606
0.003407,covid,20200607
0.003014,covid,20200608
0.0,covid,20200609
0.0,covid,20200610
0.0,covid,20200611
0.003949,covid,20200612
0.004947999999999999,covid,20200613
0.003917,covid,20200614
0.0,covid,20200615
0.002502,covid,20200616
0.003654,covid,20200617
0.006753,covid,20200618
0.0,covid,20200619
0.005744,covid,20200620
0.0025280000000000003,covid,20200621
0.001315,covid,20200622
0.0035770000000000003,covid,20200623
0.010426000000000001,covid,20200624
0.001199,covid,20200625
0.0,covid,20200626
0.016721,covid,20200627
0.0,covid,20200628
0.005272,covid,20200629
0.0,covid,20200630
0.001466,covid,20200701
0.0,covid,20200702
0.0,covid,20200703
0.006492,covid,20200704
0.001962,covid,20200705
0.005456,covid,20200706
0.002134,covid,20200707
0.00371,covid,20200708
0.0030269999999999997,covid,20200709
0.0,covid,20200710
0.006113,covid,20200711
0.002696,covid,20200712
0.006523,covid,20200713
0.002784,covid,20200714
0.0,covid,20200715
0.0,covid,20200716
0.006999999999999999,covid,20200717
0.013831999999999999,covid,20200718
0.003532,covid,20200719
0.010353,covid,20200720
0.0067870000000000005,covid,20200721
0.0,covid,20200722
0.0,covid,20200723
0.0035009999999999998,covid,20200724
0.006287,covid,20200725
0.0,covid,20200726
0.0,covid,20200727
0.00292,covid,20200728
0.0,covid,20200729
0.006218,covid,20200730
0.0,covid,20200731
0.0,covid,20200801
0.003188,covid,20200802
0.008870999999999999,covid,20200803
0.006623,covid,20200804
0.0,covid,20200805
0.00852,covid,20200806
0.0,covid,20200807
0.006382,covid,20200808
0.0,covid,20200809
0.0,covid,20200810
0.0061649999999999995,covid,20200811
0.0,covid,20200812
0.0,covid,20200813
0.0,covid,20200814
0.008948999999999999,covid,20200815
0.0,covid,20200816
0.0,covid,20200817
0.00205,covid,20200818
