Percent,Indicator,Date
0.007942,covid,20200501
0.007732999999999999,covid,20200502
0.00719,covid,20200503
0.0071519999999999995,covid,20200504
0.006887999999999999,covid,20200505
0.006543000000000001,covid,20200506
0.0075959999999999995,covid,20200507
0.006392,covid,20200508
0.006047,covid,20200509
0.005848,covid,20200510
0.0057280000000000005,covid,20200511
0.005567,covid,20200512
0.005392,covid,20200513
0.005136,covid,20200514
0.005255,covid,20200515
0.006822,covid,20200516
0.006547,covid,20200517
0.006520999999999999,covid,20200518
0.006806,covid,20200519
0.0065829999999999994,covid,20200520
0.006051,covid,20200521
0.005615,covid,20200522
0.005058,covid,20200523
0.004862,covid,20200524
0.004939,covid,20200525
0.004782,covid,20200526
0.004612,covid,20200527
0.004762,covid,20200528
0.004863,covid,20200529
0.004905,covid,20200530
0.004565,covid,20200601
0.004357,covid,20200602
0.004013,covid,20200603
0.0042369999999999994,covid,20200604
0.0038179999999999998,covid,20200605
0.0037990000000000003,covid,20200606
0.003807,covid,20200607
0.003535,covid,20200608
0.003848,covid,20200609
0.004096,covid,20200610
0.004303,covid,20200611
0.005068,covid,20200612
0.004922,covid,20200613
0.004712,covid,20200614
0.005224,covid,20200615
0.005221,covid,20200616
0.0051649999999999995,covid,20200617
0.004649,covid,20200618
0.004268,covid,20200619
0.0045049999999999995,covid,20200620
0.00456,covid,20200621
0.004106,covid,20200622
0.0037619999999999997,covid,20200623
0.004337,covid,20200624
0.004698,covid,20200625
0.004581,covid,20200626
0.004325,covid,20200627
0.004106,covid,20200628
0.004023,covid,20200629
0.003985,covid,20200630
0.003232,covid,20200701
0.0026,covid,20200702
0.002677,covid,20200703
0.002806,covid,20200704
0.00309,covid,20200705
0.003587,covid,20200706
0.0036490000000000003,covid,20200707
0.003807,covid,20200708
0.004068,covid,20200709
0.0037270000000000003,covid,20200710
0.0035789999999999997,covid,20200711
0.003229,covid,20200712
0.002731,covid,20200713
0.002879,covid,20200714
0.0033020000000000002,covid,20200715
0.002878,covid,20200716
0.0033079999999999997,covid,20200717
0.003135,covid,20200718
0.003003,covid,20200719
0.0032979999999999997,covid,20200720
0.003106,covid,20200721
0.002341,covid,20200722
0.002502,covid,20200723
0.0025399999999999997,covid,20200724
0.002729,covid,20200725
0.002948,covid,20200726
0.002912,covid,20200727
0.003141,covid,20200728
0.003462,covid,20200729
0.0034340000000000004,covid,20200730
0.00375,covid,20200801
0.003814,covid,20200802
0.003327,covid,20200803
0.003285,covid,20200804
0.0030789999999999997,covid,20200805
0.0028079999999999997,covid,20200806
0.0025800000000000003,covid,20200807
0.002971,covid,20200808
0.003029,covid,20200809
0.003927,covid,20200810
0.004059,covid,20200811
0.004201,covid,20200812
0.0046890000000000005,covid,20200813
0.005004,covid,20200814
0.005121,covid,20200815
0.005457,covid,20200816
0.004954999999999999,covid,20200817
0.00505,covid,20200818
0.005023,covid,20200819
0.00504,covid,20200820
0.0048119999999999994,covid,20200821
0.004425,covid,20200822
0.004377000000000001,covid,20200823
0.004879,covid,20200824
0.004657,covid,20200825
