pct_community_cli,community_cli_se,pct_community_cli_unw,community_cli_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.09566,0.01849,0.121406,0.016652,313.0,Algeria,DZA,DZA,20200501
0.056603,0.004622,0.059117,0.004528,2605.0,Argentina,ARG,ARG,20200501
0.036173,0.007201,0.043532,0.006589,804.0,Australia,AUS,AUS,20200501
0.028527,0.009459,0.034667,0.008608,375.0,Austria,AUT,AUT,20200501
0.150172,0.018152,0.173913,0.017109,437.0,Bangladesh,BGD,BGD,20200501
0.318872,0.030302,0.336066,0.029896,244.0,Belarus,BLR,BLR,20200501
0.145358,0.013551,0.155989,0.013163,718.0,Belgium,BEL,BEL,20200501
0.089503,0.01299,0.093439,0.012741,503.0,Bolivia,BOL,BOL,20200501
0.23626,0.004047,0.243217,0.004007,11241.0,Brazil,BRA,BRA,20200501
0.025651,0.008891,0.03125,0.008078,384.0,Bulgaria,BGR,BGR,20200501
0.076855,0.006239,0.072706,0.0064,1733.0,Canada,CAN,CAN,20200501
0.102828,0.009657,0.109195,0.009405,1044.0,Chile,CHL,CHL,20200501
0.057218,0.005605,0.066901,0.00521,1988.0,Colombia,COL,COL,20200501
0.069232,0.010938,0.053864,0.012299,427.0,Costa Rica,CRI,CRI,20200501
0.023686,0.013048,0.044177,0.009656,249.0,Croatia,HRV,HRV,20200501
0.032685,0.005949,0.026954,0.006532,742.0,Czech Republic,CZE,CZE,20200501
0.131774,0.011978,0.128205,0.012119,780.0,Denmark,DNK,DNK,20200501
0.145677,0.020282,0.152381,0.019909,315.0,Dominican Republic,DOM,DOM,20200501
0.261364,0.014168,0.247578,0.014423,929.0,Ecuador,ECU,ECU,20200501
0.101849,0.008907,0.113475,0.008494,1269.0,Egypt,EGY,EGY,20200501
0.098608,0.011449,0.0625,0.014101,448.0,El Salvador,SLV,SLV,20200501
0.103707,0.013728,0.093333,0.014388,450.0,Finland,FIN,FIN,20200501
0.108008,0.00603,0.109747,0.005988,2688.0,France,FRA,FRA,20200501
0.050733,0.004207,0.056296,0.004006,3002.0,Germany,DEU,DEU,20200501
0.093487,0.022232,0.166667,0.017366,282.0,Ghana,GHA,GHA,20200501
0.045104,0.009515,0.057947,0.008451,604.0,Greece,GRC,GRC,20200501
0.05988,0.008598,0.049051,0.009445,632.0,Guatemala,GTM,GTM,20200501
