smoothed_sideeffects,smoothed_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.606228,0.027616,314.0,Algeria,DZA,DZA,20210114
0.633846,0.008964,2889.0,Argentina,ARG,ARG,20210114
0.466049,0.011911,1755.0,Australia,AUS,AUS,20210114
0.376969,0.016163,900.0,Austria,AUT,AUT,20210114
0.624975,0.025,376.0,Bangladesh,BGD,BGD,20210114
0.809563,0.02334,284.0,Belarus,BLR,BLR,20210114
0.388226,0.016494,874.0,Belgium,BEL,BEL,20210114
0.727851,0.015275,850.0,Bolivia,BOL,BOL,20210114
0.548739,0.038623,167.0,Bosnia and Herzegovina,BIH,BIH,20210114
0.466791,0.004153,14429.0,Brazil,BRA,BRA,20210114
0.529034,0.022345,500.0,Bulgaria,BGR,BGR,20210114
0.424448,0.009148,2920.0,Canada,CAN,CAN,20210114
0.69274,0.012175,1437.0,Chile,CHL,CHL,20210114
0.749339,0.007899,3011.0,Colombia,COL,COL,20210114
0.538176,0.022947,473.0,Costa Rica,CRI,CRI,20210114
0.454437,0.02499,398.0,Croatia,HRV,HRV,20210114
0.275337,0.013456,1103.0,Czech Republic,CZE,CZE,20210114
0.311811,0.011625,1589.0,Denmark,DNK,DNK,20210114
0.71449,0.022471,405.0,Dominican Republic,DOM,DOM,20210114
0.757218,0.01371,979.0,Ecuador,ECU,ECU,20210114
0.726219,0.012602,1253.0,Egypt,EGY,EGY,20210114
0.71846,0.021272,448.0,El Salvador,SLV,SLV,20210114
0.310959,0.023808,379.0,Finland,FIN,FIN,20210114
0.482064,0.007076,4988.0,France,FRA,FRA,20210114
0.385866,0.00671,5264.0,Germany,DEU,DEU,20210114
0.821076,0.029839,166.0,Ghana,GHA,GHA,20210114
0.439563,0.017806,778.0,Greece,GRC,GRC,20210114
0.7294,0.021425,431.0,Guatemala,GTM,GTM,20210114
0.706338,0.022118,425.0,Honduras,HND,HND,20210114
0.608788,0.035312,192.0,Hong Kong,HKG,HKG,20210114
0.408437,0.011641,1784.0,Hungary,HUN,HUN,20210114
0.515089,0.010064,2467.0,India,IND,IND,20210114
0.529626,0.010536,2245.0,Indonesia,IDN,IDN,20210114
0.569642,0.022552,483.0,Iraq,IRQ,IRQ,20210114
0.423634,0.016444,904.0,Ireland,IRL,IRL,20210114
0.418741,0.015254,1047.0,Israel,ISR,ISR,20210114
0.472115,0.006988,5104.0,Italy,ITA,ITA,20210114
