percent_dc,mc_se,percent_dc_unw,dc_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.257698,0.028596,0.397959,0.025551,294.0,Algeria,DZA,DZA,20200501
0.330683,0.009348,0.332283,0.009337,2540.0,Argentina,ARG,ARG,20200501
0.395593,0.017518,0.396927,0.017508,781.0,Australia,AUS,AUS,20200501
0.425604,0.026179,0.431755,0.026132,359.0,Austria,AUT,AUT,20200501
0.267063,0.021471,0.241206,0.022205,398.0,Bangladesh,BGD,BGD,20200501
0.512406,0.032422,0.529412,0.032468,238.0,Belarus,BLR,BLR,20200501
0.231565,0.015793,0.225392,0.015944,701.0,Belgium,BEL,BEL,20200501
0.28536,0.021018,0.312115,0.020484,487.0,Bolivia,BOL,BOL,20200501
0.453063,0.004776,0.46271,0.004768,10901.0,Brazil,BRA,BRA,20200501
0.322415,0.024567,0.342246,0.024201,374.0,Bulgaria,BGR,BGR,20200501
0.225042,0.010393,0.239478,0.01017,1687.0,Canada,CAN,CAN,20200501
0.448878,0.015606,0.442801,0.015627,1014.0,Chile,CHL,CHL,20200501
0.383269,0.011049,0.381593,0.011058,1934.0,Colombia,COL,COL,20200501
0.451273,0.024323,0.442584,0.024369,418.0,Costa Rica,CRI,CRI,20200501
0.336265,0.031425,0.395062,0.030369,243.0,Croatia,HRV,HRV,20200501
0.590331,0.018141,0.611342,0.018302,723.0,Czech Republic,CZE,CZE,20200501
0.506543,0.018135,0.507227,0.018135,761.0,Denmark,DNK,DNK,20200501
0.312276,0.02756,0.356436,0.026667,303.0,Dominican Republic,DOM,DOM,20200501
0.318334,0.015573,0.321865,0.015528,901.0,Ecuador,ECU,ECU,20200501
0.520842,0.01425,0.572968,0.014391,1206.0,Egypt,EGY,EGY,20200501
0.291329,0.022301,0.316514,0.021786,436.0,El Salvador,SLV,SLV,20200501
0.467619,0.023686,0.461712,0.023706,444.0,Finland,FIN,FIN,20200501
0.24544,0.008564,0.25644,0.00844,2601.0,France,FRA,FRA,20200501
0.396474,0.009194,0.430196,0.009084,2901.0,Germany,DEU,DEU,20200501
0.298094,0.024388,0.2,0.027889,270.0,Ghana,GHA,GHA,20200501
0.343815,0.019954,0.382155,0.019505,594.0,Greece,GRC,GRC,20200501
0.408066,0.020119,0.440984,0.019916,610.0,Guatemala,GTM,GTM,20200501
0.33257,0.026122,0.368421,0.025513,342.0,Honduras,HND,HND,20200501
0.427083,0.013132,0.429677,0.013122,1422.0,Hungary,HUN,HUN,20200501
0.127343,0.008135,0.122462,0.008272,1625.0,India,IND,IND,20200501
0.295599,0.011113,0.313647,0.01093,1744.0,Indonesia,IDN,IDN,20200501
0.450543,0.026949,0.486957,0.026826,345.0,Iraq,IRQ,IRQ,20200501
0.226886,0.019657,0.222717,0.019787,449.0,Ireland,IRL,IRL,20200501
0.466853,0.022528,0.446721,0.022607,488.0,Israel,ISR,ISR,20200501
0.188745,0.006937,0.19702,0.006824,3289.0,Italy,ITA,ITA,20200501
0.28798,0.014202,0.26046,0.014653,956.0,Japan,JPN,JPN,20200501
0.358767,0.028928,0.371429,0.028715,280.0,Jordan,JOR,JOR,20200501
0.395305,0.037282,0.402299,0.037172,174.0,Kazakhstan,KAZ,KAZ,20200501
0.304629,0.034991,0.304598,0.034992,174.0,Kenya,KEN,KEN,20200501
0.496342,0.03434,0.502347,0.034339,213.0,Libya,LBY,LBY,20200501
0.129684,0.016339,0.14561,0.015563,467.0,Malaysia,MYS,MYS,20200501
0.419292,0.006396,0.442381,0.006354,6031.0,Mexico,MEX,MEX,20200501
0.443521,0.049021,0.39,0.04993,100.0,Moldova,MDA,MDA,20200501
0.180633,0.02449,0.213523,0.022991,281.0,Morocco,MAR,MAR,20200501
0.127557,0.027933,0.190955,0.023708,199.0,Nepal,NPL,NPL,20200501
0.33516,0.014975,0.350394,0.014817,1016.0,Netherlands,NLD,NLD,20200501
