percent_cli,cli_se,percent_cli_unw,cli_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.006912,0.006708,0.009036,0.005193,332.0,Algeria,DZA,DZA,20200501
0.004412,0.001752,0.005164,0.001377,2711.0,Argentina,ARG,ARG,20200501
0.008143,0.003955,0.006017,0.002683,831.0,Australia,AUS,AUS,20200501
0.0,0.0,0.0,0.0,387.0,Austria,AUT,AUT,20200501
0.038691,0.013407,0.030238,0.007958,463.0,Bangladesh,BGD,BGD,20200501
0.017005,0.013289,0.027668,0.010312,253.0,Belarus,BLR,BLR,20200501
0.007437,0.003567,0.008043,0.00327,746.0,Belgium,BEL,BEL,20200501
0.004822,0.004518,0.011385,0.004621,527.0,Bolivia,BOL,BOL,20200501
0.021358,0.001789,0.018716,0.001256,11648.0,Brazil,BRA,BRA,20200501
0.0,0.0,0.0,0.0,396.0,Bulgaria,BGR,BGR,20200501
0.006196,0.002366,0.00618,0.001858,1780.0,Canada,CAN,CAN,20200501
0.008191,0.003269,0.007233,0.002548,1106.0,Chile,CHL,CHL,20200501
0.011894,0.003459,0.008751,0.002053,2057.0,Colombia,COL,COL,20200501
0.009427,0.007145,0.00907,0.004515,441.0,Costa Rica,CRI,CRI,20200501
0.040359,0.020462,0.011719,0.006726,256.0,Croatia,HRV,HRV,20200501
0.003316,0.002652,0.003968,0.002287,756.0,Czech Republic,CZE,CZE,20200501
0.004075,0.002416,0.005019,0.002503,797.0,Denmark,DNK,DNK,20200501
0.011555,0.007705,0.011976,0.005952,334.0,Dominican Republic,DOM,DOM,20200501
0.02948,0.007393,0.031959,0.005647,970.0,Ecuador,ECU,ECU,20200501
0.00781,0.004049,0.007375,0.002323,1356.0,Egypt,EGY,EGY,20200501
0.006263,0.005155,0.008639,0.004301,463.0,El Salvador,SLV,SLV,20200501
0.009061,0.005427,0.008639,0.004301,463.0,Finland,FIN,FIN,20200501
0.008979,0.002227,0.007205,0.001605,2776.0,France,FRA,FRA,20200501
0.002632,0.001275,0.002915,0.00097,3087.0,Germany,DEU,DEU,20200501
0.013448,0.011562,0.010033,0.005764,299.0,Ghana,GHA,GHA,20200501
0.000516,0.001375,0.001623,0.001622,616.0,Greece,GRC,GRC,20200501
