smoothed_covid_vaccine,smoothed_covid_vaccine_se,sample_size,country,iso_code,gid_0,survey_date
0.012827,0.00482,546.0,Argentina,ARG,ARG,20210105
0.0,0.0,458.0,Australia,AUS,AUS,20210105
0.008135,0.002096,1837.0,Brazil,BRA,BRA,20210105
0.012631,0.005004,499.0,Canada,CAN,CAN,20210105
0.005787,0.005024,229.0,Chile,CHL,CHL,20210105
0.012082,0.004486,594.0,Colombia,COL,COL,20210105
0.0,0.0,116.0,Costa Rica,CRI,CRI,20210105
0.077235,0.026831,100.0,Czech Republic,CZE,CZE,20210105
0.017349,0.010044,170.0,Denmark,DNK,DNK,20210105
0.00334,0.00403,206.0,Ecuador,ECU,ECU,20210105
0.021949,0.010233,206.0,Egypt,EGY,EGY,20210105
0.001487,0.00191,408.0,France,FRA,FRA,20210105
0.008303,0.004381,430.0,Germany,DEU,DEU,20210105
0.0,0.0,100.0,Guatemala,GTM,GTM,20210105
0.005413,0.005439,183.0,Hungary,HUN,HUN,20210105
0.032736,0.004976,1280.0,India,IND,IND,20210105
0.007957,0.0034,684.0,Indonesia,IDN,IDN,20210105
0.406166,0.039321,157.0,Israel,ISR,ISR,20210105
0.009884,0.004776,430.0,Italy,ITA,ITA,20210105
0.004273,0.001266,2654.0,Japan,JPN,JPN,20210105
0.007369,0.001919,1987.0,Mexico,MEX,MEX,20210105
0.0,0.0,133.0,Netherlands,NLD,NLD,20210105
0.0,0.0,191.0,New Zealand,NZL,NZL,20210105
0.00968,0.00623,248.0,Peru,PER,PER,20210105
0.016196,0.01167,118.0,Poland,POL,POL,20210105
0.012531,0.009539,137.0,Romania,ROU,ROU,20210105
0.014616,0.006976,297.0,Russia,RUS,RUS,20210105
0.024075,0.011425,181.0,Spain,ESP,ESP,20210105
0.0,0.0,273.0,Sweden,SWE,SWE,20210105
0.005069,0.003195,495.0,Taiwan,TWN,TWN,20210105
0.0034,0.003624,259.0,Turkey,TUR,TUR,20210105
0.033167,0.0126,203.0,United Kingdom,GBR,GBR,20210105
0.0,0.0,131.0,Uruguay,URY,URY,20210105
0.019352,0.01144,146.0,Venezuela,VEN,VEN,20210105
0.00983,0.001509,4270.0,Argentina,ARG,ARG,20210106
0.008205,0.001803,2447.0,Australia,AUS,AUS,20210106
