percent_ili,ili_se,percent_ili_unw,ili_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.001758,0.003392,0.006024,0.004247,332.0,Algeria,DZA,DZA,20200501
0.005397,0.001937,0.00664,0.00156,2711.0,Argentina,ARG,ARG,20200501
0.006368,0.0035,0.004813,0.002401,831.0,Australia,AUS,AUS,20200501
0.0,0.0,0.0,0.0,387.0,Austria,AUT,AUT,20200501
0.042343,0.013999,0.025918,0.007384,463.0,Bangladesh,BGD,BGD,20200501
0.02941,0.017365,0.043478,0.012821,253.0,Belarus,BLR,BLR,20200501
0.005906,0.003181,0.006702,0.002987,746.0,Belgium,BEL,BEL,20200501
0.011149,0.006848,0.017078,0.005644,527.0,Bolivia,BOL,BOL,20200501
0.023951,0.001892,0.02069,0.001319,11648.0,Brazil,BRA,BRA,20200501
0.001635,0.003084,0.002525,0.002522,396.0,Bulgaria,BGR,BGR,20200501
0.006557,0.002434,0.00618,0.001858,1780.0,Canada,CAN,CAN,20200501
0.011562,0.003878,0.009042,0.002846,1106.0,Chile,CHL,CHL,20200501
0.013941,0.003741,0.011181,0.002318,2057.0,Colombia,COL,COL,20200501
0.011963,0.008038,0.013605,0.005516,441.0,Costa Rica,CRI,CRI,20200501
0.039624,0.020282,0.007813,0.005503,256.0,Croatia,HRV,HRV,20200501
0.003316,0.002652,0.003968,0.002287,756.0,Czech Republic,CZE,CZE,20200501
0.005222,0.002733,0.006274,0.002797,797.0,Denmark,DNK,DNK,20200501
0.011555,0.007705,0.011976,0.005952,334.0,Dominican Republic,DOM,DOM,20200501
0.040805,0.008647,0.046392,0.006753,970.0,Ecuador,ECU,ECU,20200501
0.008642,0.004258,0.010324,0.002745,1356.0,Egypt,EGY,EGY,20200501
0.026781,0.010549,0.012959,0.005256,463.0,El Salvador,SLV,SLV,20200501
0.010725,0.005899,0.010799,0.004803,463.0,Finland,FIN,FIN,20200501
0.010942,0.002456,0.008646,0.001757,2776.0,France,FRA,FRA,20200501
0.001787,0.001051,0.002915,0.00097,3087.0,Germany,DEU,DEU,20200501
0.002414,0.004926,0.006689,0.004714,299.0,Ghana,GHA,GHA,20200501
0.000516,0.001375,0.001623,0.001622,616.0,Greece,GRC,GRC,20200501
