smoothed_pct_hes_cost,smoothed_hes_cost_se,sample_size,country,iso_code,gid_0,survey_date
0.125902,0.021414,241.0,Algeria,DZA,DZA,20210206
0.086176,0.008698,1042.0,Argentina,ARG,ARG,20210206
0.045789,0.008555,598.0,Australia,AUS,AUS,20210206
0.016268,0.008378,229.0,Austria,AUT,AUT,20210206
0.110265,0.022316,198.0,Bangladesh,BGD,BGD,20210206
0.040056,0.016877,136.0,Belarus,BLR,BLR,20210206
0.045132,0.012496,277.0,Belgium,BEL,BEL,20210206
0.125586,0.019069,303.0,Bolivia,BOL,BOL,20210206
0.061654,0.004685,2637.0,Brazil,BRA,BRA,20210206
0.045728,0.013212,251.0,Bulgaria,BGR,BGR,20210206
0.038621,0.006926,775.0,Canada,CAN,CAN,20210206
0.073143,0.012413,441.0,Chile,CHL,CHL,20210206
0.120361,0.01031,997.0,Colombia,COL,COL,20210206
0.176899,0.038158,101.0,Costa Rica,CRI,CRI,20210206
0.051077,0.01854,142.0,Croatia,HRV,HRV,20210206
0.031067,0.008046,466.0,Czech Republic,CZE,CZE,20210206
0.029398,0.012419,186.0,Denmark,DNK,DNK,20210206
0.115972,0.025636,157.0,Dominican Republic,DOM,DOM,20210206
0.195969,0.019872,400.0,Ecuador,ECU,ECU,20210206
0.191829,0.017071,533.0,Egypt,EGY,EGY,20210206
0.212949,0.030947,176.0,El Salvador,SLV,SLV,20210206
0.019811,0.00302,2130.0,France,FRA,FRA,20210206
0.012693,0.002734,1678.0,Germany,DEU,DEU,20210206
0.164926,0.030505,149.0,Ghana,GHA,GHA,20210206
0.031051,0.008739,395.0,Greece,GRC,GRC,20210206
0.243184,0.033297,167.0,Guatemala,GTM,GTM,20210206
0.212163,0.034803,139.0,Honduras,HND,HND,20210206
0.068279,0.023833,113.0,Hong Kong,HKG,HKG,20210206
0.039431,0.008526,522.0,Hungary,HUN,HUN,20210206
0.059698,0.006211,1456.0,India,IND,IND,20210206
0.243509,0.014782,844.0,Indonesia,IDN,IDN,20210206
0.175982,0.02309,273.0,Iraq,IRQ,IRQ,20210206
0.070873,0.023233,123.0,Ireland,IRL,IRL,20210206
0.034887,0.015677,138.0,Israel,ISR,ISR,20210206
0.023756,0.004339,1233.0,Italy,ITA,ITA,20210206
0.109264,0.004153,5643.0,Japan,JPN,JPN,20210206
0.072603,0.022251,137.0,Jordan,JOR,JOR,20210206
0.039476,0.018158,116.0,Kazakhstan,KAZ,KAZ,20210206
0.136218,0.02695,163.0,Kenya,KEN,KEN,20210206
0.110939,0.029414,115.0,Lebanon,LBN,LBN,20210206
0.221912,0.020881,397.0,Malaysia,MYS,MYS,20210206
0.139084,0.006852,2551.0,Mexico,MEX,MEX,20210206
0.01912,0.013764,100.0,Morocco,MAR,MAR,20210206
0.123357,0.030935,114.0,Nepal,NPL,NPL,20210206
0.012213,0.005212,445.0,Netherlands,NLD,NLD,20210206
0.054694,0.015193,225.0,New Zealand,NZL,NZL,20210206
0.11699,0.019312,278.0,Nigeria,NGA,NGA,20210206
0.021274,0.009108,252.0,Norway,NOR,NOR,20210206
0.080438,0.019628,193.0,Pakistan,PAK,PAK,20210206
0.157102,0.033358,120.0,Paraguay,PRY,PRY,20210206
0.146015,0.013582,677.0,Peru,PER,PER,20210206
0.216114,0.014644,791.0,Philippines,PHL,PHL,20210206
0.065589,0.011049,503.0,Poland,POL,POL,20210206
0.024663,0.006412,586.0,Portugal,PRT,PRT,20210206
0.065771,0.022535,122.0,"Puerto Rico, U.S.",PRI,PRI,20210206
0.026813,0.007882,421.0,Romania,ROU,ROU,20210206
0.036603,0.006594,812.0,Russia,RUS,RUS,20210206
0.097622,0.021763,187.0,Saudi Arabia,SAU,SAU,20210206
0.029227,0.011255,225.0,Serbia,SRB,SRB,20210206
0.003773,0.004261,208.0,Slovakia,SVK,SVK,20210206
0.034372,0.01831,100.0,Slovenia,SVN,SVN,20210206
0.125969,0.016933,385.0,South Africa,ZAF,ZAF,20210206
0.05899,0.012648,348.0,South Korea,KOR,KOR,20210206
0.037552,0.006117,967.0,Spain,ESP,ESP,20210206
0.025587,0.006341,621.0,Sweden,SWE,SWE,20210206
0.03679,0.010474,324.0,Switzerland,CHE,CHE,20210206
0.128443,0.009556,1227.0,Taiwan,TWN,TWN,20210206
0.280034,0.015614,828.0,Thailand,THA,THA,20210206
0.089518,0.020933,187.0,Tunisia,TUN,TUN,20210206
0.061787,0.008486,806.0,Turkey,TUR,TUR,20210206
0.11495,0.010493,925.0,Ukraine,UKR,UKR,20210206
0.017565,0.005695,533.0,United Kingdom,GBR,GBR,20210206
0.038117,0.011967,257.0,Uruguay,URY,URY,20210206
0.206034,0.021466,356.0,Venezuela,VEN,VEN,20210206
0.244595,0.011431,1415.0,Vietnam,VNM,VNM,20210206
0.073795,0.011665,482.0,Algeria,DZA,DZA,20210207
0.093412,0.006286,2144.0,Argentina,ARG,ARG,20210207
0.043477,0.005898,1197.0,Australia,AUS,AUS,20210207
0.018264,0.005928,514.0,Austria,AUT,AUT,20210207
0.060668,0.023195,106.0,Azerbaijan,AZE,AZE,20210207
0.134478,0.01628,438.0,Bangladesh,BGD,BGD,20210207
0.04097,0.011453,308.0,Belarus,BLR,BLR,20210207
0.037863,0.007911,580.0,Belgium,BEL,BEL,20210207
0.114789,0.013293,580.0,Bolivia,BOL,BOL,20210207
0.064246,0.019974,150.0,Bosnia and Herzegovina,BIH,BIH,20210207
0.05912,0.003272,5213.0,Brazil,BRA,BRA,20210207
0.044326,0.008792,550.0,Bulgaria,BGR,BGR,20210207
0.051622,0.005434,1665.0,Canada,CAN,CAN,20210207
0.084382,0.009377,888.0,Chile,CHL,CHL,20210207
0.107711,0.006984,1970.0,Colombia,COL,COL,20210207
0.168689,0.026605,200.0,Costa Rica,CRI,CRI,20210207
0.040271,0.01132,301.0,Croatia,HRV,HRV,20210207
0.028719,0.005501,923.0,Czech Republic,CZE,CZE,20210207
0.018316,0.006708,387.0,Denmark,DNK,DNK,20210207
0.123506,0.018616,314.0,Dominican Republic,DOM,DOM,20210207
0.186932,0.013907,792.0,Ecuador,ECU,ECU,20210207
0.192628,0.012368,1019.0,Egypt,EGY,EGY,20210207
0.222916,0.021823,367.0,El Salvador,SLV,SLV,20210207
0.016179,0.009795,166.0,Finland,FIN,FIN,20210207
0.021605,0.002181,4442.0,France,FRA,FRA,20210207
0.019887,0.002414,3406.0,Germany,DEU,DEU,20210207
0.120995,0.019612,288.0,Ghana,GHA,GHA,20210207
0.026985,0.005722,801.0,Greece,GRC,GRC,20210207
0.213089,0.023306,312.0,Guatemala,GTM,GTM,20210207
0.212933,0.024036,298.0,Honduras,HND,HND,20210207
0.063446,0.016329,227.0,Hong Kong,HKG,HKG,20210207
0.030797,0.005164,1132.0,Hungary,HUN,HUN,20210207
0.069647,0.004781,2821.0,India,IND,IND,20210207
0.229642,0.010327,1659.0,Indonesia,IDN,IDN,20210207
0.15626,0.016236,509.0,Iraq,IRQ,IRQ,20210207
0.059931,0.014888,255.0,Ireland,IRL,IRL,20210207
0.034375,0.011116,271.0,Israel,ISR,ISR,20210207
0.023768,0.003004,2574.0,Italy,ITA,ITA,20210207
0.109469,0.003013,10741.0,Japan,JPN,JPN,20210207
0.056029,0.01403,284.0,Jordan,JOR,JOR,20210207
0.057027,0.015294,223.0,Kazakhstan,KAZ,KAZ,20210207
0.139313,0.019253,326.0,Kenya,KEN,KEN,20210207
0.103671,0.020227,229.0,Lebanon,LBN,LBN,20210207
0.056854,0.017146,185.0,Libya,LBY,LBY,20210207
0.214096,0.014742,776.0,Malaysia,MYS,MYS,20210207
0.146122,0.005,4988.0,Mexico,MEX,MEX,20210207
0.093227,0.025948,122.0,Moldova,MDA,MDA,20210207
0.011154,0.008029,192.0,Morocco,MAR,MAR,20210207
0.096453,0.02627,129.0,Mozambique,MOZ,MOZ,20210207
0.089228,0.019543,221.0,Nepal,NPL,NPL,20210207
0.021734,0.004978,866.0,Netherlands,NLD,NLD,20210207
0.057005,0.010515,488.0,New Zealand,NZL,NZL,20210207
0.283815,0.035644,159.0,Nicaragua,NIC,NIC,20210207
