smoothed_pct_hes_otherpeople,smoothed_hes_otherpeople_se,sample_size,country,iso_code,gid_0,survey_date
0.322293,0.030168,241.0,Algeria,DZA,DZA,20210206
0.381382,0.015054,1042.0,Argentina,ARG,ARG,20210206
0.357568,0.019616,598.0,Australia,AUS,AUS,20210206
0.386294,0.032246,229.0,Austria,AUT,AUT,20210206
0.330807,0.033522,198.0,Bangladesh,BGD,BGD,20210206
0.22193,0.035764,136.0,Belarus,BLR,BLR,20210206
0.423289,0.02974,277.0,Belgium,BEL,BEL,20210206
0.312058,0.026662,303.0,Bolivia,BOL,BOL,20210206
0.388569,0.009494,2637.0,Brazil,BRA,BRA,20210206
0.334535,0.029841,251.0,Bulgaria,BGR,BGR,20210206
0.46434,0.017926,775.0,Canada,CAN,CAN,20210206
0.302368,0.021896,441.0,Chile,CHL,CHL,20210206
0.356446,0.015176,997.0,Colombia,COL,COL,20210206
0.448162,0.049731,101.0,Costa Rica,CRI,CRI,20210206
0.363274,0.040503,142.0,Croatia,HRV,HRV,20210206
0.46638,0.023134,466.0,Czech Republic,CZE,CZE,20210206
0.567471,0.036425,186.0,Denmark,DNK,DNK,20210206
0.302423,0.036774,157.0,Dominican Republic,DOM,DOM,20210206
0.362,0.024059,400.0,Ecuador,ECU,ECU,20210206
0.293485,0.019742,533.0,Egypt,EGY,EGY,20210206
0.342674,0.035877,176.0,El Salvador,SLV,SLV,20210206
0.44011,0.010758,2130.0,France,FRA,FRA,20210206
0.393668,0.01193,1678.0,Germany,DEU,DEU,20210206
0.234776,0.034841,149.0,Ghana,GHA,GHA,20210206
0.349096,0.024015,395.0,Greece,GRC,GRC,20210206
0.484297,0.038788,167.0,Guatemala,GTM,GTM,20210206
0.324173,0.039844,139.0,Honduras,HND,HND,20210206
0.290034,0.042878,113.0,Hong Kong,HKG,HKG,20210206
0.259675,0.019209,522.0,Hungary,HUN,HUN,20210206
0.427729,0.01297,1456.0,India,IND,IND,20210206
0.314844,0.015997,844.0,Indonesia,IDN,IDN,20210206
0.253245,0.026368,273.0,Iraq,IRQ,IRQ,20210206
0.453961,0.045076,123.0,Ireland,IRL,IRL,20210206
0.163331,0.031583,138.0,Israel,ISR,ISR,20210206
0.368718,0.013745,1233.0,Italy,ITA,ITA,20210206
0.298896,0.006094,5643.0,Japan,JPN,JPN,20210206
0.248155,0.037039,137.0,Jordan,JOR,JOR,20210206
0.111958,0.029403,116.0,Kazakhstan,KAZ,KAZ,20210206
0.200881,0.031479,163.0,Kenya,KEN,KEN,20210206
