smoothed_pct_hes_religious,smoothed_hes_religious_se,sample_size,country,iso_code,gid_0,survey_date
0.019282,0.008877,241.0,Algeria,DZA,DZA,20210206
0.010096,0.003099,1042.0,Argentina,ARG,ARG,20210206
0.019107,0.005603,598.0,Australia,AUS,AUS,20210206
0.027325,0.010797,229.0,Austria,AUT,AUT,20210206
0.009741,0.006997,198.0,Bangladesh,BGD,BGD,20210206
0.0,0.0,136.0,Belarus,BLR,BLR,20210206
0.012843,0.006778,277.0,Belgium,BEL,BEL,20210206
0.013648,0.006677,303.0,Bolivia,BOL,BOL,20210206
0.018738,0.002641,2637.0,Brazil,BRA,BRA,20210206
0.004233,0.004106,251.0,Bulgaria,BGR,BGR,20210206
0.021833,0.005253,775.0,Canada,CAN,CAN,20210206
0.024645,0.007391,441.0,Chile,CHL,CHL,20210206
0.014798,0.003826,997.0,Colombia,COL,COL,20210206
0.026003,0.015914,101.0,Costa Rica,CRI,CRI,20210206
0.007505,0.007268,142.0,Croatia,HRV,HRV,20210206
0.017738,0.006121,466.0,Czech Republic,CZE,CZE,20210206
0.0,0.0,186.0,Denmark,DNK,DNK,20210206
0.005317,0.005823,157.0,Dominican Republic,DOM,DOM,20210206
0.014481,0.005981,400.0,Ecuador,ECU,ECU,20210206
0.025462,0.00683,533.0,Egypt,EGY,EGY,20210206
0.0,0.0,176.0,El Salvador,SLV,SLV,20210206
0.005446,0.001595,2130.0,France,FRA,FRA,20210206
0.012918,0.002757,1678.0,Germany,DEU,DEU,20210206
0.011454,0.008747,149.0,Ghana,GHA,GHA,20210206
0.019906,0.007037,395.0,Greece,GRC,GRC,20210206
0.034191,0.014104,167.0,Guatemala,GTM,GTM,20210206
0.012882,0.009599,139.0,Honduras,HND,HND,20210206
0.008112,0.008476,113.0,Hong Kong,HKG,HKG,20210206
0.021649,0.006376,522.0,Hungary,HUN,HUN,20210206
0.013615,0.003038,1456.0,India,IND,IND,20210206
0.036677,0.006474,844.0,Indonesia,IDN,IDN,20210206
0.026614,0.009759,273.0,Iraq,IRQ,IRQ,20210206
0.007645,0.007886,123.0,Ireland,IRL,IRL,20210206
0.010308,0.008629,138.0,Israel,ISR,ISR,20210206
0.006056,0.00221,1233.0,Italy,ITA,ITA,20210206
0.002529,0.000669,5643.0,Japan,JPN,JPN,20210206
0.003234,0.004868,137.0,Jordan,JOR,JOR,20210206
0.0,0.0,116.0,Kazakhstan,KAZ,KAZ,20210206
0.03082,0.013579,163.0,Kenya,KEN,KEN,20210206
0.027252,0.015249,115.0,Lebanon,LBN,LBN,20210206
0.023457,0.007606,397.0,Malaysia,MYS,MYS,20210206
0.013595,0.002293,2551.0,Mexico,MEX,MEX,20210206
0.016452,0.012785,100.0,Morocco,MAR,MAR,20210206
0.0,0.0,114.0,Nepal,NPL,NPL,20210206
0.035803,0.008818,445.0,Netherlands,NLD,NLD,20210206
0.039242,0.012974,225.0,New Zealand,NZL,NZL,20210206
0.037941,0.011479,278.0,Nigeria,NGA,NGA,20210206
0.035267,0.011643,252.0,Norway,NOR,NOR,20210206
0.024244,0.0111,193.0,Pakistan,PAK,PAK,20210206
0.007571,0.007946,120.0,Paraguay,PRY,PRY,20210206
0.016662,0.004923,677.0,Peru,PER,PER,20210206
0.019212,0.004884,791.0,Philippines,PHL,PHL,20210206
0.018037,0.00594,503.0,Poland,POL,POL,20210206
0.00141,0.001551,586.0,Portugal,PRT,PRT,20210206
0.045661,0.018977,122.0,"Puerto Rico, U.S.",PRI,PRI,20210206
0.012387,0.005397,421.0,Romania,ROU,ROU,20210206
0.00832,0.00319,812.0,Russia,RUS,RUS,20210206
0.033241,0.013144,187.0,Saudi Arabia,SAU,SAU,20210206
0.01747,0.008754,225.0,Serbia,SRB,SRB,20210206
0.0029,0.003738,208.0,Slovakia,SVK,SVK,20210206
0.026067,0.016014,100.0,Slovenia,SVN,SVN,20210206
0.077175,0.013619,385.0,South Africa,ZAF,ZAF,20210206
0.008294,0.004869,348.0,South Korea,KOR,KOR,20210206
0.000626,0.000805,967.0,Spain,ESP,ESP,20210206
0.002717,0.00209,621.0,Sweden,SWE,SWE,20210206
0.011878,0.006028,324.0,Switzerland,CHE,CHE,20210206
0.0,0.0,1227.0,Taiwan,TWN,TWN,20210206
0.004527,0.002334,828.0,Thailand,THA,THA,20210206
