smoothed_pct_hes_sideeffects,smoothed_hes_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.466245,0.032201,241.0,Algeria,DZA,DZA,20210206
0.48015,0.015485,1042.0,Argentina,ARG,ARG,20210206
0.547448,0.020371,598.0,Australia,AUS,AUS,20210206
0.460805,0.033011,229.0,Austria,AUT,AUT,20210206
0.39226,0.034787,198.0,Bangladesh,BGD,BGD,20210206
0.462748,0.042914,136.0,Belarus,BLR,BLR,20210206
0.545749,0.02997,277.0,Belgium,BEL,BEL,20210206
0.517458,0.028754,303.0,Bolivia,BOL,BOL,20210206
0.483866,0.009734,2637.0,Brazil,BRA,BRA,20210206
0.415864,0.031172,251.0,Bulgaria,BGR,BGR,20210206
0.537337,0.017922,775.0,Canada,CAN,CAN,20210206
0.6224,0.023111,441.0,Chile,CHL,CHL,20210206
0.670143,0.014898,997.0,Colombia,COL,COL,20210206
0.560204,0.049636,101.0,Costa Rica,CRI,CRI,20210206
0.504353,0.042106,142.0,Croatia,HRV,HRV,20210206
0.409719,0.022806,466.0,Czech Republic,CZE,CZE,20210206
0.530696,0.036691,186.0,Denmark,DNK,DNK,20210206
0.586749,0.039425,157.0,Dominican Republic,DOM,DOM,20210206
0.579918,0.024709,400.0,Ecuador,ECU,ECU,20210206
0.592739,0.021302,533.0,Egypt,EGY,EGY,20210206
0.616761,0.036751,176.0,El Salvador,SLV,SLV,20210206
0.513918,0.010832,2130.0,France,FRA,FRA,20210206
0.536422,0.012177,1678.0,Germany,DEU,DEU,20210206
0.590577,0.04042,149.0,Ghana,GHA,GHA,20210206
0.4996,0.02519,395.0,Greece,GRC,GRC,20210206
0.564581,0.038482,167.0,Guatemala,GTM,GTM,20210206
0.656318,0.040429,139.0,Honduras,HND,HND,20210206
0.609948,0.046089,113.0,Hong Kong,HKG,HKG,20210206
0.48625,0.021897,522.0,Hungary,HUN,HUN,20210206
0.331412,0.01234,1456.0,India,IND,IND,20210206
0.482762,0.017211,844.0,Indonesia,IDN,IDN,20210206
0.535996,0.030238,273.0,Iraq,IRQ,IRQ,20210206
0.49976,0.045268,123.0,Ireland,IRL,IRL,20210206
0.465799,0.042618,138.0,Israel,ISR,ISR,20210206
0.457044,0.014192,1233.0,Italy,ITA,ITA,20210206
0.608748,0.006497,5643.0,Japan,JPN,JPN,20210206
0.492929,0.04287,137.0,Jordan,JOR,JOR,20210206
