smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.482418,0.032255,241.0,Algeria,DZA,DZA,20210206
0.51331,0.015491,1042.0,Argentina,ARG,ARG,20210206
0.566797,0.02028,598.0,Australia,AUS,AUS,20210206
0.485323,0.033099,229.0,Austria,AUT,AUT,20210206
0.440059,0.035367,198.0,Bangladesh,BGD,BGD,20210206
0.3754,0.041676,136.0,Belarus,BLR,BLR,20210206
0.491255,0.030092,277.0,Belgium,BEL,BEL,20210206
0.532293,0.028712,303.0,Bolivia,BOL,BOL,20210206
0.533417,0.009717,2637.0,Brazil,BRA,BRA,20210206
0.402565,0.031017,251.0,Bulgaria,BGR,BGR,20210206
0.471877,0.017944,775.0,Canada,CAN,CAN,20210206
0.559852,0.023665,441.0,Chile,CHL,CHL,20210206
0.534521,0.015805,997.0,Colombia,COL,COL,20210206
0.519374,0.049962,101.0,Costa Rica,CRI,CRI,20210206
0.52241,0.042065,142.0,Croatia,HRV,HRV,20210206
0.50941,0.023183,466.0,Czech Republic,CZE,CZE,20210206
0.495031,0.036759,186.0,Denmark,DNK,DNK,20210206
0.624923,0.038762,157.0,Dominican Republic,DOM,DOM,20210206
0.540274,0.02495,400.0,Ecuador,ECU,ECU,20210206
0.54561,0.021587,533.0,Egypt,EGY,EGY,20210206
0.512453,0.037785,176.0,El Salvador,SLV,SLV,20210206
0.488916,0.010834,2130.0,France,FRA,FRA,20210206
0.481206,0.012201,1678.0,Germany,DEU,DEU,20210206
0.590703,0.040418,149.0,Ghana,GHA,GHA,20210206
0.548834,0.025069,395.0,Greece,GRC,GRC,20210206
0.500175,0.038808,167.0,Guatemala,GTM,GTM,20210206
0.510958,0.042553,139.0,Honduras,HND,HND,20210206
0.63256,0.045555,113.0,Hong Kong,HKG,HKG,20210206
0.406674,0.02152,522.0,Hungary,HUN,HUN,20210206
0.433748,0.012992,1456.0,India,IND,IND,20210206
0.48536,0.017214,844.0,Indonesia,IDN,IDN,20210206
0.492931,0.030314,273.0,Iraq,IRQ,IRQ,20210206
0.389995,0.044159,123.0,Ireland,IRL,IRL,20210206
0.429812,0.042295,138.0,Israel,ISR,ISR,20210206
0.402139,0.01397,1233.0,Italy,ITA,ITA,20210206
0.527381,0.006647,5643.0,Japan,JPN,JPN,20210206
0.650206,0.040894,137.0,Jordan,JOR,JOR,20210206
0.367615,0.044961,116.0,Kazakhstan,KAZ,KAZ,20210206
0.615808,0.038215,163.0,Kenya,KEN,KEN,20210206
0.552715,0.046568,115.0,Lebanon,LBN,LBN,20210206
0.59441,0.024674,397.0,Malaysia,MYS,MYS,20210206
0.496322,0.009901,2551.0,Mexico,MEX,MEX,20210206
0.610351,0.049013,100.0,Morocco,MAR,MAR,20210206
0.42205,0.046461,114.0,Nepal,NPL,NPL,20210206
0.399804,0.023248,445.0,Netherlands,NLD,NLD,20210206
0.529753,0.033348,225.0,New Zealand,NZL,NZL,20210206
0.570153,0.029745,278.0,Nigeria,NGA,NGA,20210206
0.442112,0.031347,252.0,Norway,NOR,NOR,20210206
0.482995,0.036064,193.0,Pakistan,PAK,PAK,20210206
0.446624,0.045573,120.0,Paraguay,PRY,PRY,20210206
0.556346,0.019108,677.0,Peru,PER,PER,20210206
0.595929,0.017459,791.0,Philippines,PHL,PHL,20210206
0.440633,0.022158,503.0,Poland,POL,POL,20210206
0.366018,0.019916,586.0,Portugal,PRT,PRT,20210206
0.598503,0.044564,122.0,"Puerto Rico, U.S.",PRI,PRI,20210206
0.430709,0.024162,421.0,Romania,ROU,ROU,20210206
0.44326,0.017444,812.0,Russia,RUS,RUS,20210206
0.594167,0.036006,187.0,Saudi Arabia,SAU,SAU,20210206
0.478825,0.033378,225.0,Serbia,SRB,SRB,20210206
0.422672,0.034334,208.0,Slovakia,SVK,SVK,20210206
0.443691,0.049932,100.0,Slovenia,SVN,SVN,20210206
0.511814,0.025508,385.0,South Africa,ZAF,ZAF,20210206
0.587623,0.026426,348.0,South Korea,KOR,KOR,20210206
0.360847,0.015452,967.0,Spain,ESP,ESP,20210206
0.422389,0.019837,621.0,Sweden,SWE,SWE,20210206
0.467838,0.027763,324.0,Switzerland,CHE,CHE,20210206
0.657827,0.01355,1227.0,Taiwan,TWN,TWN,20210206
