smoothed_pct_hes_wontwork,smoothed_hes_wontwork_se,sample_size,country,iso_code,gid_0,survey_date
0.418297,0.031841,241.0,Algeria,DZA,DZA,20210206
0.247226,0.013371,1042.0,Argentina,ARG,ARG,20210206
0.298115,0.018721,598.0,Australia,AUS,AUS,20210206
0.227388,0.027759,229.0,Austria,AUT,AUT,20210206
0.246779,0.030717,198.0,Bangladesh,BGD,BGD,20210206
0.222397,0.035791,136.0,Belarus,BLR,BLR,20210206
0.26254,0.026486,277.0,Belgium,BEL,BEL,20210206
0.267826,0.025482,303.0,Bolivia,BOL,BOL,20210206
0.262348,0.008568,2637.0,Brazil,BRA,BRA,20210206
0.222309,0.026297,251.0,Bulgaria,BGR,BGR,20210206
0.275104,0.016052,775.0,Canada,CAN,CAN,20210206
0.296071,0.021764,441.0,Chile,CHL,CHL,20210206
0.341557,0.015027,997.0,Colombia,COL,COL,20210206
0.291503,0.045445,101.0,Costa Rica,CRI,CRI,20210206
0.298598,0.038541,142.0,Croatia,HRV,HRV,20210206
0.326088,0.021739,466.0,Czech Republic,CZE,CZE,20210206
0.261669,0.032316,186.0,Denmark,DNK,DNK,20210206
0.385686,0.038972,157.0,Dominican Republic,DOM,DOM,20210206
0.350444,0.023885,400.0,Ecuador,ECU,ECU,20210206
0.425872,0.021438,533.0,Egypt,EGY,EGY,20210206
0.287762,0.034222,176.0,El Salvador,SLV,SLV,20210206
0.369728,0.010462,2130.0,France,FRA,FRA,20210206
0.246452,0.010523,1678.0,Germany,DEU,DEU,20210206
0.299503,0.037651,149.0,Ghana,GHA,GHA,20210206
0.308716,0.023273,395.0,Greece,GRC,GRC,20210206
0.297552,0.035484,167.0,Guatemala,GTM,GTM,20210206
0.347314,0.04053,139.0,Honduras,HND,HND,20210206
0.395681,0.046206,113.0,Hong Kong,HKG,HKG,20210206
0.287235,0.019823,522.0,Hungary,HUN,HUN,20210206
0.181802,0.010111,1456.0,India,IND,IND,20210206
0.285945,0.015563,844.0,Indonesia,IDN,IDN,20210206
0.218898,0.025072,273.0,Iraq,IRQ,IRQ,20210206
0.166609,0.033736,123.0,Ireland,IRL,IRL,20210206
0.196033,0.033917,138.0,Israel,ISR,ISR,20210206
0.257441,0.012457,1233.0,Italy,ITA,ITA,20210206
0.289601,0.006039,5643.0,Japan,JPN,JPN,20210206
0.385033,0.041726,137.0,Jordan,JOR,JOR,20210206
0.138504,0.032211,116.0,Kazakhstan,KAZ,KAZ,20210206
0.151963,0.028205,163.0,Kenya,KEN,KEN,20210206
0.226375,0.039195,115.0,Lebanon,LBN,LBN,20210206
0.375778,0.024338,397.0,Malaysia,MYS,MYS,20210206
0.265327,0.008743,2551.0,Mexico,MEX,MEX,20210206
0.358122,0.048186,100.0,Morocco,MAR,MAR,20210206
0.209396,0.038276,114.0,Nepal,NPL,NPL,20210206
0.233578,0.02008,445.0,Netherlands,NLD,NLD,20210206
0.236021,0.028372,225.0,New Zealand,NZL,NZL,20210206
0.193168,0.02372,278.0,Nigeria,NGA,NGA,20210206
0.166192,0.023496,252.0,Norway,NOR,NOR,20210206
0.183658,0.027944,193.0,Pakistan,PAK,PAK,20210206
0.387846,0.044667,120.0,Paraguay,PRY,PRY,20210206
0.342594,0.018253,677.0,Peru,PER,PER,20210206
0.311012,0.01647,791.0,Philippines,PHL,PHL,20210206
0.307551,0.020597,503.0,Poland,POL,POL,20210206
0.198588,0.016494,586.0,Portugal,PRT,PRT,20210206
0.248039,0.039261,122.0,"Puerto Rico, U.S.",PRI,PRI,20210206
0.191221,0.019189,421.0,Romania,ROU,ROU,20210206
0.214236,0.014407,812.0,Russia,RUS,RUS,20210206
0.313983,0.03403,187.0,Saudi Arabia,SAU,SAU,20210206
0.218626,0.027616,225.0,Serbia,SRB,SRB,20210206
0.250777,0.030128,208.0,Slovakia,SVK,SVK,20210206
0.276231,0.044938,100.0,Slovenia,SVN,SVN,20210206
0.250219,0.022104,385.0,South Africa,ZAF,ZAF,20210206
0.286504,0.024271,348.0,South Korea,KOR,KOR,20210206
0.252166,0.013972,967.0,Spain,ESP,ESP,20210206
0.224181,0.016749,621.0,Sweden,SWE,SWE,20210206
0.289049,0.025223,324.0,Switzerland,CHE,CHE,20210206
0.430214,0.01414,1227.0,Taiwan,TWN,TWN,20210206
0.365715,0.016748,828.0,Thailand,THA,THA,20210206
0.389401,0.035754,187.0,Tunisia,TUN,TUN,20210206
0.408611,0.017326,806.0,Turkey,TUR,TUR,20210206
0.175155,0.012504,925.0,Ukraine,UKR,UKR,20210206
0.198164,0.017282,533.0,United Kingdom,GBR,GBR,20210206
0.283497,0.028168,257.0,Uruguay,URY,URY,20210206
0.258445,0.023235,356.0,Venezuela,VEN,VEN,20210206
0.354757,0.012723,1415.0,Vietnam,VNM,VNM,20210206
0.361702,0.021776,482.0,Algeria,DZA,DZA,20210207
0.245004,0.009293,2144.0,Argentina,ARG,ARG,20210207
0.258263,0.012604,1197.0,Australia,AUS,AUS,20210207
0.228336,0.01856,514.0,Austria,AUT,AUT,20210207
0.296822,0.044303,106.0,Azerbaijan,AZE,AZE,20210207
0.24285,0.020544,438.0,Bangladesh,BGD,BGD,20210207
0.230138,0.024321,308.0,Belarus,BLR,BLR,20210207
0.298112,0.019035,580.0,Belgium,BEL,BEL,20210207
0.269121,0.018466,580.0,Bolivia,BOL,BOL,20210207
0.245173,0.035429,150.0,Bosnia and Herzegovina,BIH,BIH,20210207
0.254881,0.006043,5213.0,Brazil,BRA,BRA,20210207
0.222363,0.017764,550.0,Bulgaria,BGR,BGR,20210207
0.269319,0.010879,1665.0,Canada,CAN,CAN,20210207
0.286907,0.01521,888.0,Chile,CHL,CHL,20210207
0.346788,0.010728,1970.0,Colombia,COL,COL,20210207
