percent_mc,mc_se,percent_mc_unw,mc_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.233167,0.027205,0.29682,0.02518,283.0,Algeria,DZA,DZA,20200501
0.779338,0.008153,0.7896,0.008296,2500.0,Argentina,ARG,ARG,20200501
0.104846,0.010183,0.086501,0.011098,763.0,Australia,AUS,AUS,20200501
0.780328,0.021696,0.790368,0.022068,353.0,Austria,AUT,AUT,20200501
0.696774,0.024453,0.650919,0.02358,381.0,Bangladesh,BGD,BGD,20200501
0.474049,0.032745,0.487179,0.032712,234.0,Belarus,BLR,BLR,20200501
0.286126,0.017599,0.308696,0.017218,690.0,Belgium,BEL,BEL,20200501
0.728845,0.019526,0.758836,0.020291,481.0,Bolivia,BOL,BOL,20200501
0.71527,0.004313,0.725303,0.004361,10710.0,Brazil,BRA,BRA,20200501
0.767522,0.020309,0.814714,0.02208,367.0,Bulgaria,BGR,BGR,20200501
0.26451,0.010655,0.250302,0.010849,1654.0,Canada,CAN,CAN,20200501
0.831788,0.011471,0.844689,0.011846,998.0,Chile,CHL,CHL,20200501
0.731354,0.009778,0.759414,0.01014,1912.0,Colombia,COL,COL,20200501
0.142422,0.017194,0.141119,0.01726,411.0,Costa Rica,CRI,CRI,20200501
0.33528,0.030682,0.338912,0.030601,239.0,Croatia,HRV,HRV,20200501
0.941968,0.007259,0.960839,0.00875,715.0,Czech Republic,CZE,CZE,20200501
0.012938,0.004404,0.014706,0.004135,748.0,Denmark,DNK,DNK,20200501
0.695975,0.025471,0.740741,0.026737,297.0,Dominican Republic,DOM,DOM,20200501
0.724351,0.014627,0.748864,0.015072,880.0,Ecuador,ECU,ECU,20200501
0.228803,0.012199,0.225064,0.01227,1173.0,Egypt,EGY,EGY,20200501
0.77886,0.020904,0.746544,0.019944,434.0,El Salvador,SLV,SLV,20200501
0.05268,0.009412,0.040724,0.010638,442.0,Finland,FIN,FIN,20200501
0.421559,0.009693,0.404056,0.009754,2564.0,France,FRA,FRA,20200501
0.715597,0.008468,0.711989,0.008436,2861.0,Germany,DEU,DEU,20200501
0.588296,0.027633,0.274809,0.030463,262.0,Ghana,GHA,GHA,20200501
0.315289,0.019124,0.308219,0.019243,584.0,Greece,GRC,GRC,20200501
0.869135,0.01264,0.892206,0.013745,603.0,Guatemala,GTM,GTM,20200501
0.706418,0.024171,0.737952,0.025031,332.0,Honduras,HND,HND,20200501
0.638724,0.012518,0.670922,0.012797,1410.0,Hungary,HUN,HUN,20200501
0.680666,0.011615,0.700514,0.011823,1556.0,India,IND,IND,20200501
0.773343,0.009936,0.784588,0.010119,1713.0,Indonesia,IDN,IDN,20200501
0.273103,0.02587,0.337313,0.02438,335.0,Iraq,IRQ,IRQ,20200501
0.150539,0.017077,0.151584,0.017029,442.0,Ireland,IRL,IRL,20200501
0.867694,0.01498,0.878407,0.01553,477.0,Israel,ISR,ISR,20200501
0.802924,0.006839,0.812846,0.006974,3254.0,Italy,ITA,ITA,20200501
0.907442,0.008886,0.918691,0.009423,947.0,Japan,JPN,JPN,20200501
0.424508,0.030196,0.467153,0.029914,274.0,Jordan,JOR,JOR,20200501
0.706192,0.034791,0.715976,0.035143,169.0,Kazakhstan,KAZ,KAZ,20200501
0.862496,0.029047,0.835366,0.026974,164.0,Kenya,KEN,KEN,20200501
0.219425,0.028738,0.217391,0.028835,207.0,Libya,LBY,LBY,20200501
0.79449,0.019996,0.75705,0.01884,461.0,Malaysia,MYS,MYS,20200501
0.719833,0.005745,0.732447,0.005828,5939.0,Mexico,MEX,MEX,20200501
0.555089,0.029768,0.599265,0.030188,272.0,Morocco,MAR,MAR,20200501
0.595552,0.034103,0.659794,0.035327,194.0,Nepal,NPL,NPL,20200501
0.027727,0.00492,0.0249,0.005184,1004.0,Netherlands,NLD,NLD,20200501
0.159222,0.017354,0.170213,0.016895,470.0,New Zealand,NZL,NZL,20200501
0.450464,0.026681,0.445402,0.026709,348.0,Nicaragua,NIC,NIC,20200501
0.405901,0.024178,0.421053,0.024048,418.0,Nigeria,NGA,NGA,20200501
0.019165,0.006541,0.022901,0.005995,524.0,Norway,NOR,NOR,20200501
0.623579,0.027779,0.644295,0.028113,298.0,Pakistan,PAK,PAK,20200501
0.195247,0.039891,0.203883,0.039249,103.0,Palestine,PSE,PSE,20200501
0.730144,0.036577,0.709677,0.035769,155.0,Panama,PAN,PAN,20200501
0.798503,0.031917,0.784431,0.031133,167.0,Paraguay,PRY,PRY,20200501
0.784169,0.011391,0.798069,0.011674,1243.0,Peru,PER,PER,20200501
0.7923,0.015998,0.779762,0.01566,672.0,Philippines,PHL,PHL,20200501
0.869684,0.009856,0.886847,0.010474,1034.0,Poland,POL,POL,20200501
0.508377,0.014511,0.541525,0.01456,1180.0,Portugal,PRT,PRT,20200501
0.846933,0.017666,0.837529,0.017243,437.0,"Puerto Rico, U.S.",PRI,PRI,20200501
0.760631,0.011058,0.737074,0.010718,1586.0,Romania,ROU,ROU,20200501
0.526413,0.018994,0.532562,0.019008,691.0,Russia,RUS,RUS,20200501
0.500053,0.035084,0.536946,0.03518,203.0,Saudi Arabia,SAU,SAU,20200501
0.650314,0.027971,0.671378,0.028397,283.0,Serbia,SRB,SRB,20200501
0.948961,0.012254,0.956679,0.013247,277.0,Slovakia,SVK,SVK,20200501
0.784116,0.039119,0.769231,0.038201,117.0,Slovenia,SVN,SVN,20200501
0.562785,0.016304,0.442411,0.016283,929.0,South Africa,ZAF,ZAF,20200501
0.877459,0.018743,0.883959,0.019189,293.0,South Korea,KOR,KOR,20200501
0.663122,0.011186,0.648026,0.01107,1824.0,Spain,ESP,ESP,20200501
0.639628,0.037776,0.693333,0.039332,150.0,Sri Lanka,LKA,LKA,20200501
0.307819,0.037283,0.267606,0.038873,142.0,Sudan,SDN,SDN,20200501
0.010838,0.002615,0.011152,0.002578,1614.0,Sweden,SWE,SWE,20200501
0.170898,0.020343,0.206549,0.018916,397.0,Switzerland,CHE,CHE,20200501
0.560056,0.01334,0.660587,0.013984,1261.0,Taiwan,TWN,TWN,20200501
0.847241,0.009563,0.867355,0.010143,1259.0,Thailand,THA,THA,20200501
0.368312,0.029475,0.365672,0.029519,268.0,Tunisia,TUN,TUN,20200501
0.730935,0.010872,0.799117,0.012034,1359.0,Turkey,TUR,TUR,20200501
0.827022,0.009185,0.863053,0.010105,1402.0,Ukraine,UKR,UKR,20200501
0.823975,0.029472,0.829268,0.02983,164.0,United Arab Emirates,ARE,ARE,20200501
0.128266,0.005987,0.123301,0.006089,3017.0,United Kingdom,GBR,GBR,20200501
0.677447,0.025012,0.728707,0.026296,317.0,Uruguay,URY,URY,20200501
0.785547,0.037753,0.83,0.041251,100.0,Uzbekistan,UZB,UZB,20200501
0.845337,0.022519,0.837037,0.022046,270.0,Venezuela,VEN,VEN,20200501
0.860642,0.009757,0.852075,0.009518,1325.0,Vietnam,VNM,VNM,20200501
0.229498,0.026967,0.262172,0.025783,267.0,Algeria,DZA,DZA,20200502
0.791265,0.008605,0.795362,0.008669,2199.0,Argentina,ARG,ARG,20200502
0.085462,0.010133,0.0688,0.011192,625.0,Australia,AUS,AUS,20200502
0.820529,0.021356,0.819018,0.021286,326.0,Austria,AUT,AUT,20200502
0.697712,0.026295,0.70297,0.026427,303.0,Bangladesh,BGD,BGD,20200502
0.618445,0.038017,0.537572,0.037039,173.0,Belarus,BLR,BLR,20200502
0.29835,0.01834,0.338831,0.017729,667.0,Belgium,BEL,BEL,20200502
0.76427,0.021373,0.781333,0.021948,375.0,Bolivia,BOL,BOL,20200502
0.722663,0.004578,0.738286,0.004663,9220.0,Brazil,BRA,BRA,20200502
0.8007,0.022129,0.80625,0.022366,320.0,Bulgaria,BGR,BGR,20200502
0.287245,0.011907,0.27149,0.012115,1396.0,Canada,CAN,CAN,20200502
0.856092,0.011723,0.863636,0.01199,858.0,Chile,CHL,CHL,20200502
0.747305,0.010488,0.761501,0.010695,1652.0,Colombia,COL,COL,20200502
0.161616,0.02126,0.2,0.019564,355.0,Costa Rica,CRI,CRI,20200502
0.224137,0.029334,0.258929,0.027925,224.0,Croatia,HRV,HRV,20200502
0.94666,0.008718,0.946269,0.008688,670.0,Czech Republic,CZE,CZE,20200502
0.019668,0.004841,0.016176,0.005329,680.0,Denmark,DNK,DNK,20200502
0.689297,0.027837,0.732283,0.029095,254.0,Dominican Republic,DOM,DOM,20200502
0.745703,0.015511,0.763298,0.01589,752.0,Ecuador,ECU,ECU,20200502
0.213554,0.012715,0.202797,0.01296,1001.0,Egypt,EGY,EGY,20200502
0.72882,0.02165,0.738499,0.021902,413.0,El Salvador,SLV,SLV,20200502
0.043093,0.011112,0.052239,0.010141,402.0,Finland,FIN,FIN,20200502
0.386988,0.010041,0.382679,0.010062,2344.0,France,FRA,FRA,20200502
0.75038,0.008522,0.740923,0.008418,2644.0,Germany,DEU,DEU,20200502
0.558518,0.027527,0.2375,0.03212,240.0,Ghana,GHA,GHA,20200502
0.313031,0.019648,0.320354,0.019526,565.0,Greece,GRC,GRC,20200502
0.849725,0.013928,0.893878,0.016159,490.0,Guatemala,GTM,GTM,20200502
0.667083,0.027194,0.667774,0.027208,301.0,Honduras,HND,HND,20200502
0.622692,0.013167,0.671642,0.013591,1273.0,Hungary,HUN,HUN,20200502
0.697638,0.013329,0.712923,0.013532,1153.0,India,IND,IND,20200502
0.764456,0.011345,0.785061,0.01172,1312.0,Indonesia,IDN,IDN,20200502
0.314571,0.02804,0.341463,0.027457,287.0,Iraq,IRQ,IRQ,20200502
0.130809,0.016937,0.150224,0.015984,446.0,Ireland,IRL,IRL,20200502
0.831777,0.016448,0.863014,0.017894,438.0,Israel,ISR,ISR,20200502
0.798818,0.007142,0.810838,0.007311,3008.0,Italy,ITA,ITA,20200502
0.899739,0.005197,0.907946,0.005399,3096.0,Japan,JPN,JPN,20200502
0.437593,0.036146,0.433862,0.036181,189.0,Jordan,JOR,JOR,20200502
0.788169,0.037228,0.786885,0.037146,122.0,Kazakhstan,KAZ,KAZ,20200502
0.877671,0.031327,0.848485,0.028628,132.0,Kenya,KEN,KEN,20200502
0.183594,0.026756,0.176471,0.027173,204.0,Libya,LBY,LBY,20200502
0.73909,0.022198,0.721271,0.02174,409.0,Malaysia,MYS,MYS,20200502
0.71927,0.006251,0.750992,0.006495,4787.0,Mexico,MEX,MEX,20200502
0.602811,0.04912,0.538462,0.048214,104.0,Moldova,MDA,MDA,20200502
0.674155,0.031453,0.646552,0.030838,232.0,Morocco,MAR,MAR,20200502
0.538569,0.039532,0.618421,0.040568,152.0,Nepal,NPL,NPL,20200502
0.027217,0.005223,0.026455,0.005296,945.0,Netherlands,NLD,NLD,20200502
0.207954,0.021073,0.20274,0.021272,365.0,New Zealand,NZL,NZL,20200502
0.490692,0.028171,0.496835,0.028167,316.0,Nicaragua,NIC,NIC,20200502
0.414851,0.028726,0.424242,0.028637,297.0,Nigeria,NGA,NGA,20200502
0.008297,0.003832,0.006652,0.004276,451.0,Norway,NOR,NOR,20200502
0.622245,0.033494,0.610329,0.033298,213.0,Pakistan,PAK,PAK,20200502
0.703759,0.034985,0.740506,0.036441,158.0,Panama,PAN,PAN,20200502
0.677741,0.035569,0.767606,0.039357,142.0,Paraguay,PRY,PRY,20200502
0.810483,0.012249,0.816184,0.012394,1001.0,Peru,PER,PER,20200502
0.789212,0.018692,0.764023,0.017955,517.0,Philippines,PHL,PHL,20200502
0.868775,0.009991,0.891641,0.010852,969.0,Poland,POL,POL,20200502
0.573436,0.015051,0.563017,0.015008,1087.0,Portugal,PRT,PRT,20200502
0.829158,0.018293,0.846154,0.019083,390.0,"Puerto Rico, U.S.",PRI,PRI,20200502
0.712872,0.011625,0.735928,0.011931,1439.0,Romania,ROU,ROU,20200502
0.520166,0.020047,0.5209,0.020048,622.0,Russia,RUS,RUS,20200502
0.534232,0.039247,0.521472,0.039192,163.0,Saudi Arabia,SAU,SAU,20200502
0.553188,0.033552,0.595349,0.033985,215.0,Serbia,SRB,SRB,20200502
0.936758,0.014042,0.952381,0.016049,231.0,Slovakia,SVK,SVK,20200502
0.665328,0.041727,0.734513,0.044588,113.0,Slovenia,SVN,SVN,20200502
0.612276,0.017798,0.47335,0.017368,788.0,South Africa,ZAF,ZAF,20200502
0.925337,0.018778,0.899225,0.016396,258.0,South Korea,KOR,KOR,20200502
0.632138,0.011588,0.635574,0.011611,1726.0,Spain,ESP,ESP,20200502
0.289791,0.041733,0.297521,0.041414,121.0,Sudan,SDN,SDN,20200502
