pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.444454,0.031045,0.46332,0.030936,259.0,Algeria,DZA,DZA,20210206
0.717003,0.01027,0.733549,0.010464,1854.0,Argentina,ARG,ARG,20210206
0.621264,0.013816,0.633005,0.013905,1218.0,Australia,AUS,AUS,20210206
0.509113,0.021477,0.530499,0.021513,541.0,Austria,AUT,AUT,20210206
0.576619,0.029199,0.572917,0.029165,288.0,Bangladesh,BGD,BGD,20210206
0.399964,0.040777,0.368794,0.041403,141.0,Belarus,BLR,BLR,20210206
0.548579,0.021313,0.549451,0.021316,546.0,Belgium,BEL,BEL,20210206
0.609915,0.023866,0.634804,0.024178,408.0,Bolivia,BOL,BOL,20210206
0.460809,0.049281,0.431373,0.049599,102.0,Bosnia and Herzegovina,BIH,BIH,20210206
0.784967,0.004654,0.794274,0.00473,7544.0,Brazil,BRA,BRA,20210206
0.496549,0.027802,0.518519,0.02782,324.0,Bulgaria,BGR,BGR,20210206
0.615362,0.011085,0.618106,0.0111,1922.0,Canada,CAN,CAN,20210206
0.692881,0.014746,0.71459,0.015062,939.0,Chile,CHL,CHL,20210206
0.71387,0.010804,0.724985,0.010936,1709.0,Colombia,COL,COL,20210206
0.770558,0.027016,0.723636,0.025402,275.0,Costa Rica,CRI,CRI,20210206
0.442642,0.03624,0.444444,0.036226,189.0,Croatia,HRV,HRV,20210206
0.466948,0.018624,0.475,0.018606,720.0,Czech Republic,CZE,CZE,20210206
0.571121,0.016996,0.535963,0.016867,862.0,Denmark,DNK,DNK,20210206
0.636207,0.033233,0.621495,0.032964,214.0,Dominican Republic,DOM,DOM,20210206
0.665606,0.018616,0.686495,0.018932,622.0,Ecuador,ECU,ECU,20210206
0.489758,0.018517,0.572028,0.018708,715.0,Egypt,EGY,EGY,20210206
0.665262,0.027282,0.702128,0.028151,282.0,El Salvador,SLV,SLV,20210206
0.690609,0.027079,0.68942,0.027051,293.0,Finland,FIN,FIN,20210206
0.493941,0.008656,0.493557,0.008656,3337.0,France,FRA,FRA,20210206
0.555139,0.00822,0.53585,0.008191,3682.0,Germany,DEU,DEU,20210206
0.636488,0.032917,0.646226,0.033114,212.0,Ghana,GHA,GHA,20210206
0.673706,0.017278,0.690377,0.017522,717.0,Greece,GRC,GRC,20210206
0.682908,0.026453,0.707071,0.027048,297.0,Guatemala,GTM,GTM,20210206
0.696597,0.029936,0.731818,0.031066,220.0,Honduras,HND,HND,20210206
0.568297,0.042239,0.595588,0.04263,136.0,Hong Kong,HKG,HKG,20210206
0.575908,0.01468,0.605951,0.014847,1109.0,Hungary,HUN,HUN,20210206
0.645,0.009878,0.632131,0.009802,2384.0,India,IND,IND,20210206
0.387341,0.014196,0.435708,0.013947,1221.0,Indonesia,IDN,IDN,20210206
0.498083,0.024969,0.5,0.024969,402.0,Iraq,IRQ,IRQ,20210206
0.68116,0.022015,0.706294,0.022526,429.0,Ireland,IRL,IRL,20210206
0.556572,0.037109,0.527473,0.036926,182.0,Israel,ISR,ISR,20210206
0.75284,0.00757,0.752074,0.007562,3255.0,Italy,ITA,ITA,20210206
0.650839,0.005496,0.657633,0.005522,7454.0,Japan,JPN,JPN,20210206
0.480412,0.036161,0.484375,0.036151,192.0,Jordan,JOR,JOR,20210206
0.219506,0.040693,0.236364,0.039646,110.0,Kazakhstan,KAZ,KAZ,20210206
0.740598,0.028679,0.704724,0.027556,254.0,Kenya,KEN,KEN,20210206
0.696961,0.034861,0.693182,0.03474,176.0,Lebanon,LBN,LBN,20210206
0.630385,0.041692,0.58156,0.040796,141.0,Libya,LBY,LBY,20210206
0.613538,0.018969,0.631173,0.019144,648.0,Malaysia,MYS,MYS,20210206
0.797025,0.004687,0.814599,0.004851,6877.0,Mexico,MEX,MEX,20210206
0.604474,0.037726,0.548571,0.037068,175.0,Morocco,MAR,MAR,20210206
0.602268,0.038733,0.620253,0.039061,158.0,Nepal,NPL,NPL,20210206
0.459655,0.014538,0.459184,0.014539,1176.0,Netherlands,NLD,NLD,20210206
0.610197,0.022846,0.602174,0.022764,460.0,New Zealand,NZL,NZL,20210206
0.738031,0.038941,0.736434,0.038865,129.0,Nicaragua,NIC,NIC,20210206
0.575342,0.023195,0.663462,0.024264,416.0,Nigeria,NGA,NGA,20210206
