smoothed_trust_fam,smoothed_trust_fam_se,sample_size,country,iso_code,gid_0,survey_date
0.402637,0.017515,785.0,Argentina,ARG,ARG,20201221
0.32423,0.016924,766.0,Australia,AUS,AUS,20201221
0.20336,0.035716,128.0,Austria,AUT,AUT,20201221
0.627122,0.043961,122.0,Bangladesh,BGD,BGD,20201221
0.116095,0.028425,128.0,Belgium,BEL,BEL,20201221
0.437822,0.035528,196.0,Bolivia,BOL,BOL,20201221
0.462499,0.007664,4233.0,Brazil,BRA,BRA,20201221
0.291629,0.015322,881.0,Canada,CAN,CAN,20201221
0.464336,0.02466,410.0,Chile,CHL,CHL,20201221
0.524267,0.016068,967.0,Colombia,COL,COL,20201221
0.586551,0.036604,182.0,Costa Rica,CRI,CRI,20201221
0.371697,0.042882,128.0,Czech Republic,CZE,CZE,20201221
0.284715,0.029069,242.0,Denmark,DNK,DNK,20201221
0.454773,0.042543,138.0,Dominican Republic,DOM,DOM,20201221
0.509967,0.025544,384.0,Ecuador,ECU,ECU,20201221
0.311784,0.021621,460.0,Egypt,EGY,EGY,20201221
0.501815,0.038461,170.0,El Salvador,SLV,SLV,20201221
0.173314,0.014126,719.0,France,FRA,FRA,20201221
0.304683,0.015928,836.0,Germany,DEU,DEU,20201221
0.187979,0.038311,105.0,Greece,GRC,GRC,20201221
0.56407,0.038488,167.0,Guatemala,GTM,GTM,20201221
0.656951,0.047473,101.0,Honduras,HND,HND,20201221
0.458015,0.045294,122.0,Hong Kong,HKG,HKG,20201221
0.316757,0.031436,220.0,Hungary,HUN,HUN,20201221
0.518176,0.014218,1236.0,India,IND,IND,20201221
0.287628,0.01549,855.0,Indonesia,IDN,IDN,20201221
0.352236,0.045752,110.0,Iraq,IRQ,IRQ,20201221
0.371241,0.042052,133.0,Ireland,IRL,IRL,20201221
0.348255,0.033858,199.0,Israel,ISR,ISR,20201221
0.289529,0.016572,750.0,Italy,ITA,ITA,20201221
0.505964,0.008532,3435.0,Japan,JPN,JPN,20201221
0.320682,0.046214,103.0,Jordan,JOR,JOR,20201221
0.562076,0.047091,112.0,Kenya,KEN,KEN,20201221
0.378546,0.029409,273.0,Malaysia,MYS,MYS,20201221
0.556423,0.008398,3501.0,Mexico,MEX,MEX,20201221
0.24476,0.026166,271.0,Netherlands,NLD,NLD,20201221
0.285328,0.02921,240.0,New Zealand,NZL,NZL,20201221
0.522263,0.037335,180.0,Nigeria,NGA,NGA,20201221
0.326366,0.035144,179.0,Norway,NOR,NOR,20201221
0.537725,0.03617,191.0,Pakistan,PAK,PAK,20201221
0.536207,0.044251,128.0,Panama,PAN,PAN,20201221
0.459604,0.027393,332.0,Peru,PER,PER,20201221
0.355469,0.022293,462.0,Philippines,PHL,PHL,20201221
0.325106,0.03158,221.0,Poland,POL,POL,20201221
0.340506,0.030717,239.0,Portugal,PRT,PRT,20201221
0.468965,0.036396,189.0,"Puerto Rico, U.S.",PRI,PRI,20201221
0.222221,0.033074,159.0,Romania,ROU,ROU,20201221
0.284174,0.023046,384.0,Russia,RUS,RUS,20201221
0.361802,0.044809,116.0,Saudi Arabia,SAU,SAU,20201221
0.487873,0.029766,283.0,South Africa,ZAF,ZAF,20201221
0.563715,0.024582,408.0,South Korea,KOR,KOR,20201221
0.295681,0.01811,636.0,Spain,ESP,ESP,20201221
0.349052,0.021802,479.0,Sweden,SWE,SWE,20201221
0.244203,0.034846,153.0,Switzerland,CHE,CHE,20201221
0.337393,0.019582,584.0,Taiwan,TWN,TWN,20201221
0.502518,0.01447,1195.0,Thailand,THA,THA,20201221
0.214963,0.018949,471.0,Turkey,TUR,TUR,20201221
0.301176,0.023948,368.0,Ukraine,UKR,UKR,20201221
0.310139,0.023392,392.0,United Kingdom,GBR,GBR,20201221
0.373658,0.02886,282.0,Uruguay,URY,URY,20201221
0.45344,0.03002,276.0,Venezuela,VEN,VEN,20201221
0.472363,0.02274,483.0,Vietnam,VNM,VNM,20201221
0.532609,0.041354,151.0,Afghanistan,AFG,AFG,20201222
0.233973,0.021163,400.0,Algeria,DZA,DZA,20201222
0.406571,0.009097,2920.0,Argentina,ARG,ARG,20201222
0.313662,0.009554,2363.0,Australia,AUS,AUS,20201222
0.236379,0.014595,849.0,Austria,AUT,AUT,20201222
0.27969,0.040453,125.0,Azerbaijan,AZE,AZE,20201222
0.642622,0.018977,644.0,Bangladesh,BGD,BGD,20201222
0.192189,0.022509,310.0,Belarus,BLR,BLR,20201222
0.235014,0.015434,829.0,Belgium,BEL,BEL,20201222
0.457794,0.01771,796.0,Bolivia,BOL,BOL,20201222
0.341555,0.040438,155.0,Bosnia and Herzegovina,BIH,BIH,20201222
0.458171,0.00392,16158.0,Brazil,BRA,BRA,20201222
0.261114,0.021499,412.0,Bulgaria,BGR,BGR,20201222
0.3028,0.007882,3399.0,Canada,CAN,CAN,20201222
0.462319,0.012496,1595.0,Chile,CHL,CHL,20201222
0.546843,0.008252,3638.0,Colombia,COL,COL,20201222
0.563371,0.018998,683.0,Costa Rica,CRI,CRI,20201222
0.307702,0.021463,463.0,Croatia,HRV,HRV,20201222
0.336207,0.015693,908.0,Czech Republic,CZE,CZE,20201222
0.263236,0.010625,1720.0,Denmark,DNK,DNK,20201222
0.468756,0.022774,482.0,Dominican Republic,DOM,DOM,20201222
0.47943,0.01341,1388.0,Ecuador,ECU,ECU,20201222
