smoothed_trust_healthcare,smoothed_trust_healthcare_se,sample_size,country,iso_code,gid_0,survey_date
0.559768,0.01789,771.0,Argentina,ARG,ARG,20201221
0.501536,0.018197,756.0,Australia,AUS,AUS,20201221
0.314374,0.040876,130.0,Austria,AUT,AUT,20201221
0.541863,0.047291,112.0,Bangladesh,BGD,BGD,20201221
0.364158,0.043388,124.0,Belgium,BEL,BEL,20201221
0.5224,0.036048,193.0,Bolivia,BOL,BOL,20201221
0.673361,0.007255,4180.0,Brazil,BRA,BRA,20201221
0.539126,0.016775,884.0,Canada,CAN,CAN,20201221
0.555803,0.02469,406.0,Chile,CHL,CHL,20201221
0.582817,0.015973,954.0,Colombia,COL,COL,20201221
0.724104,0.033041,184.0,Costa Rica,CRI,CRI,20201221
0.407952,0.044134,125.0,Czech Republic,CZE,CZE,20201221
0.455076,0.032416,237.0,Denmark,DNK,DNK,20201221
0.414449,0.044419,124.0,Dominican Republic,DOM,DOM,20201221
0.503924,0.025785,377.0,Ecuador,ECU,ECU,20201221
0.39973,0.023352,441.0,Egypt,EGY,EGY,20201221
0.623885,0.037942,164.0,El Salvador,SLV,SLV,20201221
0.419076,0.018312,727.0,France,FRA,FRA,20201221
0.400347,0.01711,821.0,Germany,DEU,DEU,20201221
0.411179,0.048019,106.0,Greece,GRC,GRC,20201221
0.519328,0.038896,166.0,Guatemala,GTM,GTM,20201221
0.515163,0.046204,118.0,Hong Kong,HKG,HKG,20201221
0.330812,0.032088,216.0,Hungary,HUN,HUN,20201221
0.546095,0.014402,1196.0,India,IND,IND,20201221
0.386149,0.017012,820.0,Indonesia,IDN,IDN,20201221
0.428587,0.048761,104.0,Iraq,IRQ,IRQ,20201221
0.477989,0.044151,129.0,Ireland,IRL,IRL,20201221
0.431224,0.035649,194.0,Israel,ISR,ISR,20201221
0.536668,0.018136,757.0,Italy,ITA,ITA,20201221
0.556789,0.008503,3414.0,Japan,JPN,JPN,20201221
0.373446,0.048616,100.0,Jordan,JOR,JOR,20201221
0.626174,0.047442,105.0,Kenya,KEN,KEN,20201221
0.505315,0.030655,267.0,Malaysia,MYS,MYS,20201221
0.642506,0.00817,3442.0,Mexico,MEX,MEX,20201221
0.3281,0.028734,268.0,Netherlands,NLD,NLD,20201221
0.461754,0.032315,239.0,New Zealand,NZL,NZL,20201221
0.558347,0.038427,168.0,Nigeria,NGA,NGA,20201221
0.44185,0.037866,173.0,Norway,NOR,NOR,20201221
0.372092,0.035731,184.0,Pakistan,PAK,PAK,20201221
0.511436,0.046213,118.0,Panama,PAN,PAN,20201221
0.528621,0.027949,320.0,Peru,PER,PER,20201221
0.43279,0.023228,456.0,Philippines,PHL,PHL,20201221
0.373065,0.032906,217.0,Poland,POL,POL,20201221
0.553131,0.032227,239.0,Portugal,PRT,PRT,20201221
0.733721,0.032674,184.0,"Puerto Rico, U.S.",PRI,PRI,20201221
0.418145,0.039118,160.0,Romania,ROU,ROU,20201221
0.261772,0.022731,375.0,Russia,RUS,RUS,20201221
0.46756,0.047146,113.0,Saudi Arabia,SAU,SAU,20201221
0.490781,0.030312,273.0,South Africa,ZAF,ZAF,20201221
0.605171,0.024441,401.0,South Korea,KOR,KOR,20201221
0.650602,0.018802,644.0,Spain,ESP,ESP,20201221
0.527854,0.022906,476.0,Sweden,SWE,SWE,20201221
0.38621,0.039362,154.0,Switzerland,CHE,CHE,20201221
0.572534,0.020524,582.0,Taiwan,TWN,TWN,20201221
0.550679,0.014487,1180.0,Thailand,THA,THA,20201221
0.364771,0.022419,462.0,Turkey,TUR,TUR,20201221
