smoothed_trust_politicians,smoothed_trust_politicians_se,sample_size,country,iso_code,gid_0,survey_date
0.122583,0.011842,768.0,Argentina,ARG,ARG,20201221
0.163391,0.013509,750.0,Australia,AUS,AUS,20201221
0.067268,0.022227,128.0,Austria,AUT,AUT,20201221
0.214339,0.03895,112.0,Bangladesh,BGD,BGD,20201221
0.088022,0.025547,124.0,Belgium,BEL,BEL,20201221
0.124017,0.024168,187.0,Bolivia,BOL,BOL,20201221
0.156293,0.005616,4182.0,Brazil,BRA,BRA,20201221
0.159954,0.012378,878.0,Canada,CAN,CAN,20201221
0.085438,0.013994,400.0,Chile,CHL,CHL,20201221
0.134388,0.011142,938.0,Colombia,COL,COL,20201221
0.20209,0.030355,176.0,Costa Rica,CRI,CRI,20201221
0.049286,0.020185,116.0,Czech Republic,CZE,CZE,20201221
0.201338,0.026103,237.0,Denmark,DNK,DNK,20201221
0.176096,0.034485,123.0,Dominican Republic,DOM,DOM,20201221
0.114066,0.016526,371.0,Ecuador,ECU,ECU,20201221
0.204884,0.019374,435.0,Egypt,EGY,EGY,20201221
0.09606,0.023152,163.0,El Salvador,SLV,SLV,20201221
0.065214,0.009292,707.0,France,FRA,FRA,20201221
0.112551,0.011057,818.0,Germany,DEU,DEU,20201221
0.105525,0.030126,105.0,Greece,GRC,GRC,20201221
0.070621,0.020005,165.0,Guatemala,GTM,GTM,20201221
0.195851,0.036533,119.0,Hong Kong,HKG,HKG,20201221
0.059463,0.016281,212.0,Hungary,HUN,HUN,20201221
0.22863,0.012164,1193.0,India,IND,IND,20201221
0.16731,0.013082,815.0,Indonesia,IDN,IDN,20201221
0.31336,0.04662,100.0,Iraq,IRQ,IRQ,20201221
0.113985,0.027872,131.0,Ireland,IRL,IRL,20201221
0.126245,0.024032,192.0,Israel,ISR,ISR,20201221
0.074675,0.009644,744.0,Italy,ITA,ITA,20201221
0.142074,0.005994,3394.0,Japan,JPN,JPN,20201221
0.199833,0.039987,101.0,Jordan,JOR,JOR,20201221
0.209926,0.039371,108.0,Kenya,KEN,KEN,20201221
0.256614,0.02663,270.0,Malaysia,MYS,MYS,20201221
0.142267,0.005954,3443.0,Mexico,MEX,MEX,20201221
0.128497,0.02048,268.0,Netherlands,NLD,NLD,20201221
0.134912,0.022191,238.0,New Zealand,NZL,NZL,20201221
0.212216,0.032124,163.0,Nigeria,NGA,NGA,20201221
0.180535,0.0295,171.0,Norway,NOR,NOR,20201221
0.202091,0.029523,186.0,Pakistan,PAK,PAK,20201221
