smoothed_twodoses,smoothed_twodoses_se,sample_size,country,iso_code,gid_0,survey_date
0.026243,0.014075,130.0,Germany,DEU,DEU,20210114
0.185261,0.014888,682.0,Israel,ISR,ISR,20210114
0.025151,0.008851,314.0,Italy,ITA,ITA,20210114
0.065222,0.020161,151.0,Mexico,MEX,MEX,20210114
0.0,0.0,115.0,Spain,ESP,ESP,20210114
0.093902,0.020177,210.0,United Kingdom,GBR,GBR,20210114
0.045378,0.017899,134.0,Argentina,ARG,ARG,20210115
0.052457,0.01993,123.0,Canada,CAN,CAN,20210115
0.026771,0.015539,108.0,Denmark,DNK,DNK,20210115
0.043432,0.014661,198.0,France,FRA,FRA,20210115
0.027962,0.009411,312.0,Germany,DEU,DEU,20210115
0.015333,0.011324,118.0,Hungary,HUN,HUN,20210115
0.204154,0.036892,121.0,India,IND,IND,20210115
0.195132,0.011093,1314.0,Israel,ISR,ISR,20210115
0.021615,0.005741,644.0,Italy,ITA,ITA,20210115
0.075878,0.015236,303.0,Mexico,MEX,MEX,20210115
0.045021,0.015285,185.0,Poland,POL,POL,20210115
0.018024,0.010152,171.0,Romania,ROU,ROU,20210115
0.37595,0.041799,132.0,Russia,RUS,RUS,20210115
0.002951,0.003322,232.0,Spain,ESP,ESP,20210115
0.099785,0.014853,409.0,United Kingdom,GBR,GBR,20210115
0.045152,0.015168,191.0,Argentina,ARG,ARG,20210116
0.062384,0.016828,204.0,Canada,CAN,CAN,20210116
0.158583,0.03346,121.0,Czech Republic,CZE,CZE,20210116
0.029098,0.013864,148.0,Denmark,DNK,DNK,20210116
0.045309,0.012014,307.0,France,FRA,FRA,20210116
0.02518,0.006981,508.0,Germany,DEU,DEU,20210116
0.018999,0.009909,193.0,Hungary,HUN,HUN,20210116
0.165419,0.026217,199.0,India,IND,IND,20210116
0.206592,0.009028,2076.0,Israel,ISR,ISR,20210116
0.016104,0.00391,1041.0,Italy,ITA,ITA,20210116
0.056837,0.010184,502.0,Mexico,MEX,MEX,20210116
0.030928,0.0105,265.0,Poland,POL,POL,20210116
0.020817,0.012995,107.0,Portugal,PRT,PRT,20210116
0.016119,0.007602,277.0,Romania,ROU,ROU,20210116
0.394806,0.035508,195.0,Russia,RUS,RUS,20210116
0.125612,0.030823,114.0,Saudi Arabia,SAU,SAU,20210116
0.001961,0.002207,345.0,Spain,ESP,ESP,20210116
0.021127,0.011637,155.0,Sweden,SWE,SWE,20210116
0.048662,0.016954,171.0,Turkey,TUR,TUR,20210116
0.088994,0.010973,679.0,United Kingdom,GBR,GBR,20210116
0.069368,0.015448,264.0,Argentina,ARG,ARG,20210117
0.033909,0.018084,106.0,Austria,AUT,AUT,20210117
0.253111,0.045559,123.0,Brazil,BRA,BRA,20210117
0.07384,0.015474,284.0,Canada,CAN,CAN,20210117
0.134358,0.025686,178.0,Czech Republic,CZE,CZE,20210117
0.021635,0.010309,203.0,Denmark,DNK,DNK,20210117
0.037063,0.009129,435.0,France,FRA,FRA,20210117
0.0229,0.005796,673.0,Germany,DEU,DEU,20210117
0.019042,0.012713,113.0,Greece,GRC,GRC,20210117
0.016741,0.007742,282.0,Hungary,HUN,HUN,20210117
0.161894,0.022524,267.0,India,IND,IND,20210117
0.067857,0.023174,128.0,Indonesia,IDN,IDN,20210117
0.03956,0.017682,122.0,Ireland,IRL,IRL,20210117
0.223399,0.008007,2762.0,Israel,ISR,ISR,20210117
0.015239,0.003225,1460.0,Italy,ITA,ITA,20210117
0.053634,0.008361,711.0,Mexico,MEX,MEX,20210117
0.034616,0.009601,357.0,Poland,POL,POL,20210117
0.014315,0.008936,155.0,Portugal,PRT,PRT,20210117
0.028388,0.008429,388.0,Romania,ROU,ROU,20210117
0.352207,0.028686,280.0,Russia,RUS,RUS,20210117
0.150474,0.028146,158.0,Saudi Arabia,SAU,SAU,20210117
0.005565,0.007526,101.0,Slovakia,SVK,SVK,20210117
0.004108,0.002869,494.0,Spain,ESP,ESP,20210117
0.021819,0.009943,219.0,Sweden,SWE,SWE,20210117
0.04039,0.012815,265.0,Turkey,TUR,TUR,20210117
