smoothed_vu,smoothed_vu_se,sample_size_vu,country,iso_code,gid_0,survey_date
0.654312,0.047323,102.0,Afghanistan,AFG,AFG,20201221
0.348686,0.024708,373.0,Algeria,DZA,DZA,20201221
0.703104,0.009212,2461.0,Argentina,ARG,ARG,20201221
0.748437,0.010463,1721.0,Australia,AUS,AUS,20201221
0.628725,0.017956,725.0,Austria,AUT,AUT,20201221
0.3512,0.043041,124.0,Azerbaijan,AZE,AZE,20201221
0.778174,0.017668,554.0,Bangladesh,BGD,BGD,20201221
0.520769,0.030982,261.0,Belarus,BLR,BLR,20201221
0.654138,0.016934,790.0,Belgium,BEL,BEL,20201221
0.71411,0.018431,602.0,Bolivia,BOL,BOL,20201221
0.505327,0.042105,142.0,Bosnia and Herzegovina,BIH,BIH,20201221
0.753025,0.003857,12504.0,Brazil,BRA,BRA,20201221
0.449573,0.023878,435.0,Bulgaria,BGR,BGR,20201221
0.780738,0.008335,2465.0,Canada,CAN,CAN,20201221
0.728245,0.013073,1159.0,Chile,CHL,CHL,20201221
0.780688,0.008082,2622.0,Colombia,COL,COL,20201221
0.853116,0.016451,464.0,Costa Rica,CRI,CRI,20201221
0.53287,0.023704,444.0,Croatia,HRV,HRV,20201221
0.593012,0.016991,837.0,Czech Republic,CZE,CZE,20201221
0.862387,0.008988,1470.0,Denmark,DNK,DNK,20201221
0.600089,0.026074,354.0,Dominican Republic,DOM,DOM,20201221
0.71839,0.013802,1063.0,Ecuador,ECU,ECU,20201221
0.599385,0.012152,1627.0,Egypt,EGY,EGY,20201221
0.754199,0.019591,484.0,El Salvador,SLV,SLV,20201221
0.776513,0.021176,388.0,Finland,FIN,FIN,20201221
0.489417,0.007781,4128.0,France,FRA,FRA,20201221
0.718135,0.006431,4895.0,Germany,DEU,DEU,20201221
0.65933,0.036784,167.0,Ghana,GHA,GHA,20201221
0.708227,0.017497,676.0,Greece,GRC,GRC,20201221
0.805872,0.018986,435.0,Guatemala,GTM,GTM,20201221
0.776833,0.02416,298.0,Honduras,HND,HND,20201221
0.589925,0.028636,296.0,Hong Kong,HKG,HKG,20201221
0.466914,0.012818,1516.0,Hungary,HUN,HUN,20201221
0.67412,0.007189,4252.0,India,IND,IND,20201221
0.671082,0.010163,2138.0,Indonesia,IDN,IDN,20201221
0.520442,0.022432,497.0,Iraq,IRQ,IRQ,20201221
0.775322,0.017436,574.0,Ireland,IRL,IRL,20201221
0.742598,0.014978,853.0,Israel,ISR,ISR,20201221
0.786435,0.006086,4535.0,Italy,ITA,ITA,20201221
0.697984,0.005353,7358.0,Japan,JPN,JPN,20201221
0.331762,0.023812,392.0,Jordan,JOR,JOR,20201221
0.33612,0.041115,133.0,Kazakhstan,KAZ,KAZ,20201221
0.788684,0.019034,461.0,Kenya,KEN,KEN,20201221
0.518531,0.04764,111.0,Kuwait,KWT,KWT,20201221
0.427311,0.03948,158.0,Lebanon,LBN,LBN,20201221
0.666592,0.03129,228.0,Libya,LBY,LBY,20201221
