,Country,Date,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
0,Austria,20200501,0.003124,0.003766,0.778461,0.352748,,0.01379,,,,,,,,,,,,,,,0.071054
1,Austria,20200502,0.002436,0.002422,0.789876,0.369218,,0.013667,,,,,,,,,,,,,,,0.073745
2,Austria,20200503,0.00191,0.002093,0.797177,0.400112,,0.014704,,,,,,,,,,,,,,,0.077942
3,Austria,20200504,0.001873,0.002301,0.802748,0.436172,0.33018,0.014251,,,,,,,,,,,,,,,0.080269
4,Austria,20200505,0.001537,0.002635,0.80976,0.44805,0.333238,0.015165,,,,,,,,,,,,,,,0.078637
5,Austria,20200506,0.00849,0.011674,0.814953,0.457697,0.334331,0.016714,,,,,,,,,,,,,,,0.075041
6,Austria,20200507,0.005628,0.007485,0.81874,0.461653,0.333025,0.015766,,,,,,,,,,,,,,,0.068632
7,Austria,20200508,0.00625,0.007711,0.818503,0.465517,0.340863,0.016994,,,,,,,,,,,,,,,0.072207
8,Austria,20200509,0.006108,0.007054,0.8225,0.47113,0.335316,0.016814,,,,,,,,,,,,,,,0.073457
9,Austria,20200510,0.005056,0.005807,0.824793,0.482645,0.33058,0.015605,,,,,,,,,,,,,,,0.066457
10,Austria,20200511,0.004268,0.004894,0.824008,0.486613,0.327747,0.014339,,,,,,,,,,,,,,,0.063928
11,Austria,20200512,0.004074,0.004613,0.830237,0.486314,0.324692,0.014299,,,,,,,,,,,,,,,0.061356
12,Austria,20200513,0.002904,0.002961,0.825804,0.498893,0.324976,0.011987,,,,,,,,,,,,,,,0.060202
13,Austria,20200514,0.00299,0.002956,0.819098,0.501984,0.327084,0.011998,,,,,,,,,,,,,,,0.058061
14,Austria,20200515,0.003214,0.003119,0.826545,0.511862,0.319861,0.010273,,,,,,,,,,,,,,,0.056228
15,Austria,20200516,0.006381,0.006334,0.819916,0.515197,0.317902,0.008642,,,,,,,,,,,,,,,0.051892
16,Austria,20200517,0.00644,0.006511,0.815758,0.508764,0.321001,0.009586,,,,,,,,,,,,,,,0.05388
17,Austria,20200518,0.005776,0.005847,0.818079,0.511513,0.319907,0.011207,,,,,,,,,,,,,,,0.051735
18,Austria,20200519,0.006606,0.006675,0.810895,0.526733,0.322487,0.013085,,,,,,,,,,,,,,,0.052294
19,Austria,20200520,0.007281,0.007349,0.813765,0.529416,0.318718,0.014797,,,,,,,,,,,,,,,0.052658
20,Austria,20200521,0.006983,0.007153,0.818275,0.544026,0.311544,0.014576,,,,,,,,,,,,,,,0.053872
21,Austria,20200522,0.00799,0.008164,0.812656,0.545922,0.315171,0.016488,,,,,,,,,,,,,,,0.053597
22,Austria,20200523,0.007167,0.007433,0.816964,0.555675,0.320271,0.018412,,,,,,,,,,,,,,,0.053174
23,Austria,20200524,0.006498,0.006746,0.819114,0.566701,0.313205,0.01744,,,,,,,,,,,,,,,0.054335
24,Austria,20200525,0.006807,0.007076,0.819956,0.567779,0.314699,0.017069,,,,,,,,,,,,,,,0.056157
25,Austria,20200526,0.006197,0.006466,0.823197,0.563068,0.312489,0.014744,,,,,,,,,,,,,,,0.055241
26,Austria,20200527,0.005372,0.005917,0.824893,0.569455,0.312472,0.013201,,,,,,,,,,,,,,,0.054048
27,Austria,20200528,0.005569,0.005938,0.822045,0.573287,0.314606,0.013442,,,,,,,,,,,,,,,0.053083
28,Austria,20200529,0.004022,0.00453,0.823335,0.577684,0.309075,0.013168,,,,,,,,,,,,,,,0.054608
29,Austria,20200530,0.004188,0.004995,0.824039,0.578696,0.304893,0.012329,,,,,,,,,,,,,,,0.053401
30,Austria,20200531,0.003861,0.004568,0.820266,0.582908,0.30533,0.012515,,,,,,,,,,,,,,,0.050907
31,Austria,20200601,0.003157,0.003852,0.814927,0.590589,0.300861,0.010586,,,,,,,,,,,,,,,0.049967
32,Austria,20200602,0.002063,0.002822,0.805726,0.600554,0.296635,0.010403,,,,,,,,,,,,,,,0.048651
33,Austria,20200603,0.00237,0.003008,0.796982,0.601403,0.291878,0.011748,,,,,,,,,,,,,,,0.051689
34,Austria,20200604,0.00258,0.0033,0.797233,0.60255,0.286769,0.01221,,,,,,,,,,,,,,,0.052768
35,Austria,20200605,0.002069,0.002556,0.798378,0.603135,0.284815,0.011763,,,,,,,,,,,,,,,0.05085
36,Austria,20200606,0.001638,0.001755,0.79152,0.607393,0.283827,0.011768,,,,,,,,,,,,,,,0.049757
37,Austria,20200607,0.001551,0.001674,0.785503,0.612427,0.280751,0.010792,,,,,,,,,,,,,,,0.049441
38,Austria,20200608,0.001711,0.001832,0.778203,0.60757,0.284688,0.012678,,,,,,,,,,,,,,,0.052365
39,Austria,20200609,0.001851,0.001911,0.782469,0.607572,0.291772,0.012577,,,,,,,,,,,,,,,0.05308
40,Austria,20200610,0.001702,0.001621,0.785463,0.608179,0.290955,0.013381,,,,,,,,,,,,,,,0.050226
41,Austria,20200611,0.001092,0.001012,0.780424,0.60808,0.286945,0.012585,,,,,,,,,,,,,,,0.05064
42,Austria,20200612,0.001089,0.00115,0.76899,0.613855,0.289097,0.013532,,,,,,,,,,,,,,,0.050432
43,Austria,20200613,0.001708,0.001769,0.765198,0.617779,0.289132,0.015421,,,,,,,,,,,,,,,0.052917
44,Austria,20200614,0.003718,0.003777,0.764933,0.625267,0.290169,0.018207,,,,,,,,,,,,,,,0.05431
45,Austria,20200615,0.004025,0.004302,0.761755,0.634666,0.289748,0.017634,,,,,,,,,,,,,,,0.050639
46,Austria,20200616,0.00476,0.00794,0.748415,0.640854,0.28855,0.021602,,,,,,,,,,,,,,,0.050256
47,Austria,20200617,0.004768,0.007923,0.731723,0.644534,0.293654,0.021398,,,,,,,,,,,,,,,0.050251
48,Austria,20200618,0.004808,0.007992,0.706906,0.647459,0.304625,0.02196,,,,,,,,,,,,,,,0.048296
49,Austria,20200619,0.004636,0.007726,0.676942,0.655615,0.302484,0.019502,,,,,,,,,,,,,,,0.045654
50,Austria,20200620,0.004272,0.007063,0.631164,0.653666,0.30122,0.018155,,,,,,,,,,,,,,,0.046639
51,Austria,20200621,0.002996,0.005791,0.58309,0.645703,0.303495,0.014353,,,,,,,,,,,,,,,0.048366
52,Austria,20200622,0.003395,0.005935,0.540599,0.640616,0.309501,0.014072,,,,,,,,,,,,,,,0.052697
53,Austria,20200623,0.003164,0.003191,0.50204,0.641384,0.309144,0.010788,,,,,,,,,,,,,,,0.0509
54,Austria,20200624,0.00368,0.003707,0.457508,0.643618,0.309318,0.012587,,,,,,,,,,,,,,,0.056265
55,Austria,20200625,0.003949,0.004156,0.434634,0.643548,0.304666,0.013154,,,,,,,,,,,,,,,0.059389
56,Austria,20200626,0.004534,0.004744,0.420071,0.639958,0.305176,0.014839,,,,,,,,,,,,,,,0.063235
57,Austria,20200627,0.005535,0.005963,0.399656,0.640991,0.308427,0.013906,,,,,,,,,,,,0.99157,0.444945,0.432662,0.064763
58,Austria,20200628,0.005131,0.005644,0.370349,0.647619,0.304796,0.01592,,,,,,,,,,,,0.987362,0.439782,0.435139,0.06812
59,Austria,20200629,0.004932,0.005592,0.350747,0.655878,0.302003,0.016511,,,,,,,,,,,,0.985021,0.425841,0.451473,0.063077
60,Austria,20200630,0.004544,0.004995,0.338397,0.657415,0.296156,0.01709,,,,,,,,,,,,0.986947,0.422542,0.450089,0.067415
61,Austria,20200701,0.004466,0.005001,0.333424,0.659016,0.303035,0.013742,,,,,,,,,,,,0.984959,0.422605,0.458383,0.067652
62,Austria,20200702,0.004092,0.004435,0.325079,0.660402,0.302144,0.01326,,,,,,,,,,,,0.984992,0.424541,0.460844,0.067024
63,Austria,20200703,0.003991,0.004735,0.314186,0.65349,0.304481,0.011315,,,,,,,,,,,,0.984953,0.427469,0.459833,0.066284
64,Austria,20200704,0.003282,0.004225,0.310184,0.652625,0.298058,0.012423,,,,,,,,,,,,0.984868,0.430546,0.459789,0.066797
65,Austria,20200705,0.004325,0.005233,0.305473,0.651546,0.299776,0.010807,,,,,,,,,,,,0.984939,0.432977,0.452863,0.060325
66,Austria,20200706,0.003507,0.004287,0.305244,0.647438,0.29388,0.009262,,,,,,,,,,,,0.986367,0.440422,0.446643,0.065213
67,Austria,20200707,0.003337,0.004167,0.303263,0.651205,0.297749,0.00825,,,,,,,,,,,,0.985761,0.440036,0.450153,0.064723
68,Austria,20200708,0.002946,0.00368,0.302644,0.650311,0.289558,0.007208,,,,,,,,,,,,0.986629,0.44239,0.446652,0.05987
69,Austria,20200709,0.003457,0.003775,0.307872,0.648112,0.299594,0.008944,,,,,,,,,,,,0.98649,0.438241,0.453417,0.060396
70,Austria,20200710,0.002962,0.003085,0.322751,0.648824,0.297974,0.009463,,,,,,,,,,,,0.985449,0.428111,0.462826,0.063453
71,Austria,20200711,0.002498,0.002429,0.332555,0.652907,0.304206,0.008568,,,,,,,,,,,,0.983813,0.423863,0.462423,0.06194
72,Austria,20200712,0.001437,0.001143,0.350237,0.644388,0.308382,0.009776,,,,,,,,,,,,0.985312,0.424422,0.467863,0.065644
73,Austria,20200713,0.003214,0.002185,0.364692,0.64368,0.315092,0.0115,,,,,,,,,,,,0.983542,0.42416,0.468948,0.063575
74,Austria,20200714,0.005643,0.004656,0.380902,0.63542,0.308931,0.012545,,,,,,,,,,,,0.982747,0.423643,0.470393,0.067969
75,Austria,20200715,0.005644,0.004806,0.389143,0.633146,0.313581,0.013651,,,,,,,,,,,,0.983591,0.424675,0.468076,0.071557
76,Austria,20200716,0.005552,0.005135,0.396261,0.626793,0.310529,0.013543,,,,,,,,,,,,0.984701,0.421789,0.463377,0.071515
77,Austria,20200717,0.005777,0.005379,0.400319,0.624046,0.308408,0.013836,,,,,,,,,,,,0.987168,0.429053,0.455476,0.068252
78,Austria,20200718,0.009739,0.005603,0.410599,0.616333,0.309773,0.013604,,,,,,,,,,,,0.988628,0.421527,0.464268,0.066556
79,Austria,20200719,0.010111,0.005969,0.416154,0.621125,0.305317,0.013709,,,,,,,,,,,,0.988569,0.418014,0.466936,0.066061
80,Austria,20200720,0.009088,0.005748,0.420579,0.619332,0.305268,0.012493,,,,,,,,,,,,0.989934,0.416298,0.473724,0.065503
81,Austria,20200721,0.008109,0.005082,0.423803,0.622716,0.312779,0.013034,,,,,,,,,,,,0.989988,0.42749,0.464646,0.062241
82,Austria,20200722,0.007924,0.005245,0.430639,0.629827,0.302999,0.012232,,,,,,,,,,,,0.989449,0.424409,0.465225,0.062303
83,Austria,20200723,0.009573,0.006976,0.435332,0.634406,0.300914,0.012471,,,,,,,,,,,,0.988895,0.430889,0.460906,0.061581
84,Austria,20200724,0.009904,0.007098,0.443007,0.640648,0.29866,0.013491,,,,,,,,,,,,0.987162,0.430577,0.465499,0.063433
85,Austria,20200725,0.006784,0.007626,0.461241,0.641243,0.292679,0.013879,,,,,,,,,,,,0.988316,0.439526,0.458831,0.066017
86,Austria,20200726,0.006248,0.007339,0.485818,0.632114,0.295164,0.013086,,,,,,,,,,,,0.986607,0.434563,0.46458,0.066191
87,Austria,20200727,0.005586,0.006718,0.508182,0.633956,0.294376,0.013977,,,,,,,,,,,,0.986603,0.428066,0.461988,0.066355
88,Austria,20200728,0.004757,0.005538,0.534553,0.627107,0.294082,0.012006,,,,,,,,,,,,0.987,0.41988,0.469057,0.062138
89,Austria,20200729,0.005436,0.005781,0.561426,0.620587,0.29907,0.012242,,,,,,,,,,,,0.98726,0.421002,0.469211,0.060264
90,Austria,20200730,0.003909,0.00418,0.582587,0.62376,0.290841,0.010883,,,,,,,,,,,,0.986464,0.422344,0.470052,0.060007
91,Austria,20200731,0.005571,0.005799,0.595897,0.626762,0.287949,0.009016,,,,,,,,,,,,0.986532,0.421946,0.468506,0.056802
92,Austria,20200801,0.004905,0.005218,0.603596,0.626439,0.287737,0.010307,,,,,,,,,,,,0.98407,0.418894,0.469103,0.059289
93,Austria,20200802,0.004857,0.004928,0.607415,0.631037,0.283077,0.010717,,,,,,,,,,,,0.984569,0.421494,0.464074,0.05734
94,Austria,20200803,0.005531,0.00593,0.617961,0.634738,0.281066,0.01074,,,,,,,,,,,,0.985297,0.433252,0.456805,0.05843
